"","","WIMD ","Income ","Employment ","Health ","Education ","Access to Services ","Community Safety ","Physical Environment ","Housing "
"","Bryn-coch South 4 ",3,3,2,3,3,4,9,6,8
"","Dyffryn 1 ",3,3,2,2,4,4,7,2,3
"","Dyffryn 2 ",7,8,6,6,6,3,8,4,7
"","Cimla 1 ",5,4,4,4,4,4,8,8,7
"","Cimla 2 ",9,9,7,6,7,7,9,5,9
"","Cimla 3 ",9,9,7,7,8,5,10,8,9
"","Tonna 1 ",9,9,8,8,9,5,10,8,9
"","Neath East 1 ",1,1,1,1,1,4,2,1,3
"","Neath East 2 ",1,1,1,2,2,6,2,2,2
"","Neath North 1 ",8,7,5,6,8,9,7,7,7
"","Neath North 2 ",1,1,1,1,1,6,1,2,3
"","Neath North 3 ",2,1,2,2,2,3,5,7,5
"","Coedffranc Central 1 ",4,3,3,3,6,9,6,4,2
"","Coedffranc Central 2 ",4,5,3,5,4,9,3,4,2
"","Coedffranc Central 3 ",2,2,2,2,1,2,7,5,6
"","Coedffranc North 1 ",5,6,6,4,4,7,8,1,4
"","Coedffranc North 2 ",6,7,6,5,5,7,9,3,2
"","Coedffranc West ",7,8,7,6,7,2,6,7,8
"","Neath East 3 ",2,1,2,3,1,3,5,2,5
"","Neath South 1 ",2,2,2,4,2,4,3,7,6
"","Neath South 2 ",2,2,1,2,1,2,6,8,6
"","Neath South 3 ",9,9,7,9,8,8,6,9,9
"","Briton Ferry East 1 ",4,5,3,4,4,4,6,3,4
"","Briton Ferry East 2 ",2,2,1,2,3,8,4,2,3
"","Briton Ferry West 1 ",1,1,1,1,1,2,5,9,3
"","Briton Ferry West 2 ",2,3,2,2,1,4,2,1,2
"","Neath East 4 ",2,3,2,2,2,5,5,1,5
"","Baglan 1 ",6,7,4,7,6,6,6,3,8
"","Baglan 2 ",10,10,8,9,9,10,10,5,9
"","Baglan 3 ",5,4,4,4,4,6,6,8,5
"","Baglan 4 ",8,7,6,7,7,9,7,5,8
"","Aberavon 1 ",8,9,7,6,4,10,5,2,10
"","Sandfields East 2 ",1,1,1,1,1,4,4,6,5
"","Sandfields West 1 ",2,2,2,2,1,4,6,4,6
"","Sandfields West 2 ",1,1,1,1,1,3,4,4,4
"","Sandfields West 3 ",1,1,1,1,1,3,4,7,5
"","Sandfields West 4 ",1,1,1,1,1,3,3,6,6
"","Aberavon 2 ",1,1,1,2,1,4,1,1,3
"","Aberavon 3 ",1,2,1,1,1,3,1,1,6
"","Aberavon 4 ",1,1,1,1,1,4,2,2,2
"","Sandfields East 1 ",1,1,1,1,2,4,3,10,6
"","Sandfields East 3 ",6,5,5,5,5,8,4,8,8
"","Sandfields East 4 ",2,2,2,2,2,6,4,5,5
"","Cymmer (Neath Port Talbot) 1 ",3,3,3,1,2,4,8,6,3
"","Cymmer (Neath Port Talbot) 2 ",1,1,1,1,1,4,4,5,8
"","Glyncorrwg ",2,2,2,3,2,4,7,2,5
"","Gwynfi ",2,2,2,1,1,6,7,5,3
"","Bryn and Cwmavon 1 ",5,6,5,4,4,3,7,9,6
"","Bryn and Cwmavon 2 ",9,8,7,6,8,10,9,6,10
"","Bryn and Cwmavon 3 ",2,2,1,1,2,6,6,6,6
"","Bryn and Cwmavon 4 ",4,3,3,3,3,7,7,8,7
"","Pelenna ",4,4,3,3,4,2,9,9,7
"","Port Talbot 1 ",6,6,5,6,4,3,5,5,6
"","Port Talbot 2 ",4,5,4,5,3,5,4,2,2
"","Port Talbot 3 ",2,3,2,2,4,6,2,2,1
"","Port Talbot 4 ",4,5,5,4,4,7,3,1,1
"","Tai-bach 1 ",3,3,3,4,3,5,4,6,5
"","Margam 1 ",3,3,3,5,3,4,1,3,7
"","Margam 2 ",8,8,9,9,8,3,5,2,10
"","Tai-bach 2 ",1,2,1,1,1,9,3,2,5
"","Tai-bach 3 ",4,4,4,4,3,8,6,2,6
"","Crynant ",7,6,5,5,5,7,8,7,9
"","Onllwyn ",3,4,3,3,4,4,7,6,3
"","Seven Sisters ",3,4,3,3,2,6,7,6,5
"","Allt-wen ",7,6,6,6,6,5,8,8,6
"","Pontardawe 1 ",4,4,4,4,5,4,3,6,7
"","Pontardawe 2 ",4,3,3,4,3,5,8,9,4
"","Pontardawe 3 ",4,5,4,4,4,8,1,4,9
"","Rhos 1 ",7,6,6,7,8,4,9,7,9
"","Rhos 2 ",9,9,8,7,9,8,10,4,8
"","Trebanos ",5,5,4,4,4,6,7,4,5
"","Cwmllynfell ",5,6,4,5,5,2,9,8,4
"","Godre'r graig ",5,6,5,3,5,3,8,4,4
"","Gwaun-Cae-Gurwen 1 ",4,4,3,4,3,10,8,5,5
"","Gwaun-Cae-Gurwen 2 ",3,2,2,3,4,2,8,4,6
"","Lower Brynamman ",4,4,3,3,4,8,7,7,2
"","Ystalyfera 2 ",2,3,2,2,3,7,5,2,6
"","Ystalyfera 1 ",3,3,2,2,4,6,6,8,3
"Bridgend ","",".",".",".",".",".",".",".",".","."
"Bridgend ","Caerau (Bridgend) 1 ",1,1,1,1,1,2,1,7,6
"","Caerau (Bridgend) 2 ",1,1,1,1,1,4,5,8,1
"","Caerau (Bridgend) 3 ",2,1,1,1,2,6,5,5,4
"","Caerau (Bridgend) 4 ",2,2,2,1,2,4,4,5,4
"","Caerau (Bridgend) 5 ",4,4,4,3,4,8,5,3,3
"","Maesteg East 1 ",2,3,2,1,4,6,2,4,3
"","Maesteg East 2 ",2,2,2,1,3,3,5,5,5
"","Maesteg West 1 ",7,6,6,5,7,10,2,7,5
"","Maesteg West 2 ",2,3,2,1,3,7,3,6,3
"","Maesteg West 4 ",3,3,2,2,4,5,5,2,7
"","Blackmill 1 ",2,2,2,3,2,4,5,10,3
"","Blackmill 2 ",3,2,3,2,2,3,7,9,6
"","Nant-y-moel 1 ",2,2,2,2,2,4,5,8,2
"","Nant-y-moel 2 ",4,4,4,2,3,10,5,5,4
"","Ogmore Vale 1 ",5,5,4,6,5,10,6,1,4
"","Ogmore Vale 2 ",3,3,2,3,3,7,5,2,2
"","Bettws (Bridgend) ",1,1,2,1,1,5,6,9,7
"","Blaengarw ",3,4,4,2,4,7,7,7,1
"","Llangeinor ",4,5,5,2,3,3,6,6,2
"","Pontycymmer 1 ",3,4,3,3,4,9,6,7,1
"","Pontycymmer 2 ",3,3,2,1,3,7,4,8,2
"","Llangynwyd 1 ",8,8,8,6,7,3,9,7,5
"","Llangynwyd 2 ",4,4,3,3,5,4,9,7,9
"","Maesteg East 3 ",6,6,4,4,6,4,8,5,6
"","Maesteg West 3 ",2,2,2,2,2,2,7,10,5
"","Aberkenfig ",7,7,6,5,6,8,7,1,4
"","Ynysawdre 1 ",3,3,3,1,4,7,4,3,8
"","Ynysawdre 2 ",8,7,6,5,7,9,8,8,6
"","Bryncethin ",6,6,6,4,6,4,5,7,10
"","Bryncoch ",4,3,4,3,3,6,7,3,4
"","Sarn 1 ",1,2,2,1,1,7,5,6,5
"","Sarn 2 ",5,5,5,4,4,8,4,8,9
"","Felindre 1 ",3,3,3,2,6,9,4,1,5
"","Felindre 2 ",8,8,8,6,8,10,8,2,10
"","Hendre (Bridgend) 1 ",9,10,9,7,8,7,10,7,9
"","Hendre (Bridgend) 2 ",5,4,5,3,5,5,8,2,6
"","Penprysg 1 ",8,7,7,5,7,6,9,8,9
"","Penprysg 2 ",7,7,7,6,7,4,7,6,8
"","Coity ",8,9,10,7,7,2,7,6,9
"","Litchard ",10,10,8,8,9,6,9,6,10
"","Pendre ",5,5,5,3,7,4,6,4,6
"","Cefn Glas ",7,6,5,5,6,7,8,7,6
"","Llangewydd and Brynhyfryd 1 ",3,3,2,2,6,5,8,3,8
"","Llangewydd and Brynhyfryd 2 ",8,7,7,5,7,8,9,5,7
"","Newcastle 1 ",3,3,4,2,4,6,6,4,6
"","Bryntirion Laleston and Merthyr Mawr 2 ",9,8,9,9,8,5,6,9,9
"","Oldcastle 3 ",9,10,9,6,9,6,6,6,9
"","Pen-y-fai ",10,10,7,8,9,7,9,7,10
"","Morfa 1 ",3,3,3,3,4,4,1,3,2
"","Morfa 2 ",1,1,1,2,1,2,4,3,5
"","Morfa 3 ",2,3,1,2,2,3,2,3,5
"","Newcastle 3 ",7,6,5,6,9,7,2,3,8
"","Oldcastle 1 ",2,2,2,2,5,3,2,4,1
"","Brackla 1 ",7,6,6,6,6,7,9,5,9
"","Brackla 5 ",9,7,9,7,8,8,10,6,10
"","Brackla 7 ",10,10,10,8,9,7,10,4,10
"","Coychurch Lower ",8,9,8,6,9,4,4,5,8
"","Brackla 2 ",5,5,5,4,5,6,8,3,9
"","Brackla 3 ",1,1,1,1,2,2,4,3,9
"","Brackla 4 ",7,5,6,6,7,10,6,3,8
"","Brackla 6 ",8,6,7,7,7,6,10,7,10
"","Bryntirion Laleston and Merthyr Mawr 3 ",3,3,2,1,5,4,8,8,8
"","Newcastle 2 ",8,6,6,6,8,6,10,3,9
"","Oldcastle 2 ",10,9,9,9,10,7,5,7,10
"","Bryntirion Laleston and Merthyr Mawr 1 ",10,10,9,10,10,10,10,8,10
"","Bryntirion Laleston and Merthyr Mawr 4 ",10,10,10,10,9,10,10,8,10
"","Bryntirion Laleston and Merthyr Mawr 5 ",10,9,9,10,10,9,10,10,10
"","Bryntirion Laleston and Merthyr Mawr 6 ",9,6,7,7,9,10,10,7,10
"","Cefn Cribwr ",5,5,4,4,4,4,8,10,6
"","Pyle 1 ",9,7,7,6,7,10,7,8,7
"","Pyle 2 ",2,2,2,2,1,6,5,4,5
"","Pyle 3 ",3,3,3,2,4,10,2,6,4
"","Pyle 4 ",5,3,4,4,5,9,6,9,6
"","Pyle 5 ",3,2,2,3,5,7,7,6,7
"","Cornelly 1 ",3,3,3,3,2,5,7,8,8
"","Cornelly 2 ",7,6,6,6,6,8,7,6,9
"","Cornelly 3 ",4,4,4,5,3,5,5,5,8
"","Cornelly 4 ",2,2,2,1,3,4,4,7,7
"","Nottage 1 ",10,10,9,9,10,4,10,10,10
"","Nottage 2 ",9,8,9,8,9,6,10,9,8
"","Porthcawl West Central 1 ",3,3,2,3,7,7,3,9,2
"","Porthcawl West Central 2 ",8,6,5,6,9,8,6,8,8
"","Rest Bay 1 ",9,9,8,9,9,5,10,10,10
"","Rest Bay 2 ",10,9,10,8,10,5,9,10,10
"","Newton (Bridgend) 1 ",9,8,7,9,10,3,10,9,10
"","Newton (Bridgend) 2 ",8,7,5,6,10,10,5,6,9
"","Porthcawl East Central 1 ",4,3,3,3,5,5,5,6,8
"","Porthcawl East Central 2 ",3,4,2,4,6,9,2,1,3
"Vale of Glamorgan ","",".",".",".",".",".",".",".",".","."
"Vale of Glamorgan ","Llandow/Ewenny ",9,10,10,10,10,1,9,7,8
"","St. Bride's Major 1 ",9,10,9,10,10,2,9,10,9
"","St. Bride's Major 2 ",9,9,9,10,9,4,10,7,9
"","Cowbridge 1 ",10,8,8,9,10,10,9,7,9
"","Cowbridge 2 ",10,10,10,10,10,2,10,6,10
"","Cowbridge 3 ",10,10,9,9,10,7,6,6,10
"","Cowbridge 4 ",9,10,10,10,10,2,10,8,10
"","Llantwit Major 1 ",10,9,10,10,9,10,9,3,10
"","Llantwit Major 2 ",9,8,8,8,9,10,5,7,8
"","Llantwit Major 4 ",8,7,7,6,8,5,9,4,8
"","Llantwit Major 5 ",9,10,10,10,10,3,7,7,6
"","Llantwit Major 6 ",5,3,4,4,4,5,8,8,8
"","Llantwit Major 7 ",10,9,10,10,10,8,10,9,10
"","Llantwit Major 3 ",8,7,7,7,8,4,8,5,9
"","Rhoose 1 ",9,7,7,7,8,8,8,8,8
"","Rhoose 2 ",8,7,7,7,7,6,9,7,9
"","Rhoose 4 ",10,10,9,9,8,9,9,6,10
"","St. Athan 1 ",5,4,4,4,5,9,5,7,5
"","St. Athan 2 ",9,7,8,8,6,6,9,8,9
"","Peterston-super-Ely ",9,10,10,10,10,1,7,6,6
"","Rhoose 3 ",8,9,9,10,9,1,8,5,8
"","Wenvoe 1 ",9,10,10,10,8,3,6,4,9
"","Wenvoe 2 ",9,9,9,9,7,5,8,7,7
"","Dinas Powys 1 ",10,10,10,10,10,8,6,3,10
"","Dinas Powys 2 ",10,9,10,10,10,10,8,1,9
"","Dinas Powys 3 ",5,4,4,5,5,5,8,2,8
"","Dinas Powys 4 ",10,10,10,10,9,8,9,1,10
"","Dinas Powys 5 ",9,10,10,10,10,3,5,5,8
"","Dyfan 1 ",10,9,9,8,8,10,7,6,10
"","Illtyd 1 ",10,10,9,9,9,10,8,3,10
"","Illtyd 3 ",10,9,8,9,9,9,9,6,10
"","Illtyd 6 ",10,9,10,9,9,10,9,8,10
"","Baruc 4 ",8,7,7,8,9,10,6,5,1
"","Buttrills 2 ",1,2,1,1,2,4,5,5,8
"","Dyfan 3 ",3,3,2,3,4,4,3,4,7
"","Illtyd 2 ",4,3,4,4,4,6,6,4,9
"","Illtyd 4 ",5,4,4,5,5,8,5,1,3
"","Illtyd 5 ",7,5,5,5,8,10,6,7,4
"","Court 3 ",1,1,1,1,2,6,2,1,6
"","Dyfan 2 ",5,4,4,4,6,6,6,6,8
"","Gibbonsdown 1 ",2,1,2,3,1,5,4,5,8
"","Gibbonsdown 2 ",1,1,1,1,1,6,3,5,5
"","Gibbonsdown 3 ",5,4,4,4,5,7,5,3,4
"","Gibbonsdown 4 ",2,1,3,2,1,6,3,8,3
"","Cadoc 1 ",2,1,2,1,2,4,4,3,9
"","Cadoc 2 ",5,5,5,4,5,6,5,3,9
"","Cadoc 4 ",2,2,2,3,3,6,2,3,1
"","Cadoc 5 ",3,4,4,4,4,7,2,1,4
"","Cadoc 6 ",10,9,9,9,9,10,8,4,10
"","Buttrills 1 ",4,5,5,4,4,9,2,4,1
"","Buttrills 3 ",5,5,6,5,4,10,2,3,1
"","Cadoc 3 ",2,2,2,2,3,9,1,3,2
"","Court 1 ",3,2,2,3,3,8,3,3,2
"","Court 2 ",3,2,3,3,3,9,2,2,4
"","Castleland 2G ",2,2,2,2,5,9,1,4,1
"","Castleland 2H ",3,2,3,3,2,8,6,4,2
"","Baruc 1 ",9,8,6,9,9,9,7,8,10
"","Baruc 2 ",10,10,9,10,10,7,9,10,7
"","Baruc 3 ",5,5,4,4,6,4,2,4,5
"","Buttrills 4 ",4,4,4,4,4,8,3,4,6
"","Castleland 1 ",2,2,1,2,2,5,2,2,6
"","Cornerswell 1 ",10,9,9,10,9,10,8,6,8
"","Cornerswell 2 ",7,6,7,6,6,6,7,5,2
"","Cornerswell 3 ",7,6,7,6,7,5,5,4,7
"","Cornerswell 4 ",9,8,8,8,9,9,9,5,8
"","Llandough ",9,9,8,8,9,5,3,4,7
"","Stanwell 1 ",6,5,7,6,5,5,6,4,3
"","Plymouth (The Vale of Glamorgan) 3 ",10,10,10,10,10,10,9,4,7
"","St. Augustine's 1 ",9,8,8,9,10,9,6,7,7
"","St. Augustine's 2 ",8,7,7,8,9,10,6,5,2
"","St. Augustine's 3 ",9,9,8,8,10,10,5,4,5
"","St. Augustine's 4 ",9,7,8,9,8,9,7,4,7
"","Stanwell 2 ",10,10,10,10,10,10,8,3,7
"","Plymouth (The Vale of Glamorgan) 1 ",10,10,10,10,10,9,10,5,10
"","Plymouth (The Vale of Glamorgan) 2 ",9,8,8,9,10,6,10,7,8
"","Stanwell 3 ",5,3,5,4,8,4,8,5,8
"","Sully 1 ",10,9,10,9,9,9,10,8,10
"","Sully 2 ",10,10,10,9,10,9,9,7,9
"","Sully 3 ",10,9,9,8,10,5,10,6,10
"Cardiff ","",".",".",".",".",".",".",".",".","."
"Cardiff ","Rhiwbina 2 ",10,10,9,10,10,7,10,3,9
"","Rhiwbina 5 ",10,10,10,10,10,10,8,1,9
"","Rhiwbina 6 ",10,10,10,9,10,10,10,3,9
"","Rhiwbina 7 ",10,9,9,9,10,10,9,2,9
"","Whitchurch and Tongwynlais 2 ",8,7,7,8,9,6,6,3,9
"","Whitchurch and Tongwynlais 7 ",7,6,7,7,7,7,5,3,6
"","Whitchurch and Tongwynlais 8 ",10,10,9,9,9,9,9,2,8
"","Whitchurch and Tongwynlais 9 ",2,3,1,2,7,4,3,4,7
"","Heath 5 ",9,8,9,8,9,10,9,2,4
"","Rhiwbina 1 ",10,10,10,10,10,10,9,3,8
"","Rhiwbina 3 ",10,10,10,10,10,10,8,2,10
"","Rhiwbina 4 ",9,10,9,9,10,9,7,2,7
"","Whitchurch and Tongwynlais 1 ",10,10,10,10,10,10,7,3,8
"","Whitchurch and Tongwynlais 3 ",7,7,5,7,9,8,5,2,7
"","Whitchurch and Tongwynlais 5 ",7,6,6,7,8,8,6,2,7
"","Whitchurch and Tongwynlais 6 ",10,10,10,10,10,8,9,2,8
"","Whitchurch and Tongwynlais 10 ",10,10,10,10,10,10,6,3,6
"","Lisvane 1 ",10,10,10,10,10,8,8,3,10
"","Lisvane 2 ",10,10,10,10,10,9,9,1,10
"","Llanishen 4 ",10,9,10,10,10,10,10,2,10
"","Llanishen 9 ",10,10,9,9,10,8,9,3,10
"","Llanishen 3 ",10,10,10,10,9,10,10,3,10
"","Llanishen 5 ",10,10,10,10,10,10,10,3,10
"","Llanishen 6 ",9,8,8,9,8,10,9,3,10
"","Llanishen 8 ",10,9,9,9,10,9,10,5,10
"","Pontprennau/Old St. Mellons 2 ",9,8,8,9,8,10,8,3,10
"","Pontprennau/Old St. Mellons 3 ",10,9,10,10,10,10,6,3,10
"","Pontprennau/Old St. Mellons 4 ",9,10,10,10,9,8,4,1,10
"","Pontprennau/Old St. Mellons 5 ",9,7,8,8,8,10,8,2,10
"","Llanishen 1 ",8,7,7,8,8,9,6,3,6
"","Llanishen 2 ",4,3,3,5,5,4,5,3,5
"","Llanishen 7 ",9,8,8,8,8,10,6,3,9
"","Llanishen 10 ",4,3,4,2,5,5,6,4,3
"","Llanishen 11 ",8,7,9,6,8,8,10,4,6
"","Llanishen 12 ",7,6,7,5,7,8,6,4,4
"","Pentyrch 2 ",9,8,8,9,10,6,8,3,9
"","Radyr & Morganstown 1 ",10,10,10,10,10,6,10,2,10
"","Radyr & Morganstown 2 ",10,10,10,10,10,9,10,2,10
"","Radyr & Morganstown 3 ",10,10,10,10,10,10,7,6,10
"","Radyr & Morganstown 4 ",10,10,8,10,10,10,10,5,10
"","Creigiau/St. Fagans 1 ",10,10,8,9,10,9,6,5,10
"","Creigiau/St. Fagans 2 ",10,10,10,10,10,10,10,4,10
"","Creigiau/St. Fagans 3 ",9,9,9,10,9,7,3,5,10
"","Pentyrch 1 ",10,9,9,10,10,9,9,6,9
"","Llandaff North 1 ",1,1,2,2,2,7,3,1,5
"","Llandaff North 2 ",5,5,6,6,5,8,3,2,2
"","Llandaff North 3 ",3,3,4,3,3,3,5,1,2
"","Llandaff North 4 ",2,1,1,2,4,6,4,1,4
"","Llandaff North 5 ",8,8,7,7,8,10,4,1,6
"","Llandaff North 6 ",4,3,4,4,4,7,5,2,3
"","Llandaff 1 ",10,10,10,10,10,10,6,2,10
"","Llandaff 2 ",10,10,9,10,10,10,8,3,9
"","Llandaff 3 ",9,7,6,9,10,10,5,2,7
"","Llandaff 4 ",10,10,10,10,10,10,5,2,8
"","Llandaff 5 ",10,9,10,10,10,10,9,3,10
"","Llandaff 6 ",9,8,8,9,8,10,7,4,10
"","Llanrumney 1 ",4,4,4,4,4,7,2,1,7
"","Llanrumney 6 ",1,1,2,1,1,4,3,1,3
"","Llanrumney 7 ",1,1,2,1,1,5,2,1,4
"","Pontprennau/Old St. Mellons 1 ",7,6,6,6,6,8,4,2,10
"","Trowbridge 1 ",8,8,8,6,5,9,7,1,9
"","Trowbridge 2 ",6,4,6,5,4,9,3,3,9
"","Trowbridge 6 ",7,6,8,6,5,10,6,1,10
"","Trowbridge 9 ",3,2,4,4,3,2,2,1,7
"","Trowbridge 3 ",1,1,2,1,2,7,1,2,8
"","Trowbridge 4 ",1,1,1,1,1,3,4,1,8
"","Trowbridge 5 ",1,1,1,1,2,4,1,3,8
"","Trowbridge 8 ",1,1,1,1,1,2,1,4,9
"","Llanrumney 2 ",2,2,3,2,1,4,3,2,3
"","Llanrumney 3 ",2,2,4,2,1,5,3,2,4
"","Llanrumney 4 ",3,3,4,3,2,4,2,2,6
"","Llanrumney 5 ",6,6,6,6,5,6,3,3,5
"","Rumney 4 ",2,2,2,2,2,5,1,2,7
"","Rumney 5 ",1,1,2,1,1,4,1,2,4
"","Trowbridge 7 ",1,1,1,2,1,4,2,2,3
"","Trowbridge 10 ",1,1,1,1,1,3,2,1,6
"","Rumney 1 ",5,5,6,7,3,10,4,1,3
"","Rumney 2 ",8,8,8,7,8,9,5,3,5
"","Rumney 3 ",8,8,8,7,6,8,4,1,7
"","Rumney 6 ",3,2,3,3,2,8,3,2,7
"","Cyncoed 1 ",10,10,10,10,10,10,9,2,10
"","Cyncoed 2 ",10,9,9,10,10,9,9,3,7
"","Cyncoed 7 ",10,10,10,9,10,10,10,2,9
"","Pentwyn 7 ",8,6,8,7,7,10,8,1,7
"","Pentwyn 3 ",1,1,1,1,1,4,1,1,3
"","Pentwyn 8 ",4,2,3,5,4,8,4,2,4
"","Pentwyn 9 ",5,5,6,2,6,8,8,1,7
"","Pentwyn 10 ",7,4,7,6,6,9,8,2,5
"","Pentwyn 1 ",5,6,5,4,5,4,8,3,3
"","Pentwyn 2 ",2,1,3,1,1,4,5,2,3
"","Pentwyn 4 ",3,2,5,5,3,4,5,3,4
"","Pentwyn 5 ",1,1,1,2,4,5,2,2,5
"","Pentwyn 6 ",6,5,5,5,6,7,6,2,3
"","Cyncoed 3 ",10,10,10,10,10,10,9,2,7
"","Cyncoed 4 ",10,10,10,10,10,9,10,2,8
"","Cyncoed 5 ",10,10,10,10,10,10,10,4,9
"","Cyncoed 6 ",10,9,10,10,10,9,8,3,9
"","Penylan 1 ",9,9,10,7,10,8,10,2,8
"","Penylan 6 ",9,10,10,9,9,9,8,2,5
"","Penylan 7 ",10,9,10,10,10,8,10,3,9
"","Penylan 8 ",9,9,10,9,9,8,9,1,7
"","Penylan 2 ",8,6,7,8,10,8,6,1,8
"","Penylan 3 ",9,10,10,10,10,10,7,1,5
"","Penylan 4 ",5,7,6,6,9,9,4,1,1
"","Penylan 5 ",5,7,5,6,9,7,2,1,3
"","Plasnewydd 3 ",5,5,7,7,6,7,3,1,1
"","Plasnewydd 8 ",6,7,8,7,10,8,3,2,1
"","Plasnewydd 9 ",4,6,8,5,4,3,5,1,1
"","Plasnewydd 10 ",6,7,9,6,8,8,5,2,1
"","Plasnewydd 11 ",5,6,9,4,7,6,4,1,1
"","Plasnewydd 1 ",4,5,8,5,4,7,3,1,1
"","Plasnewydd 2 ",2,3,3,2,5,4,5,1,1
"","Plasnewydd 4 ",3,7,8,8,1,3,3,1,1
"","Plasnewydd 5 ",4,4,4,7,9,7,3,1,1
"","Plasnewydd 6 ",3,4,5,4,5,5,3,1,1
"","Plasnewydd 7 ",1,1,1,1,3,4,1,1,6
"","Riverside 4 ",7,7,8,8,10,7,3,1,3
"","Riverside 5 ",7,7,7,7,10,9,6,1,2
"","Riverside 6 ",7,7,8,9,10,9,4,1,1
"","Riverside 7 ",6,8,8,9,9,8,2,1,1
"","Canton 6 ",9,10,9,9,10,10,6,1,8
"","Canton 7 ",8,7,7,9,10,9,8,3,3
"","Canton 8 ",8,8,8,9,10,8,5,1,2
"","Canton 9 ",5,5,6,5,6,8,6,1,2
"","Canton 1 ",5,5,6,6,7,7,4,1,2
"","Canton 2 ",4,3,6,5,6,8,7,1,1
"","Canton 3 ",2,2,3,3,3,3,2,1,2
"","Canton 4 ",6,7,7,6,7,8,6,1,1
"","Canton 5 ",4,4,5,6,7,9,5,1,1
"","Riverside 1 ",1,1,3,1,3,4,3,1,1
"","Riverside 2 ",1,2,2,1,2,3,2,1,1
"","Riverside 3 ",1,1,1,1,2,4,1,1,2
"","Riverside 8 ",2,3,5,3,4,3,2,1,1
"","Fairwater (Cardiff) 1 ",8,6,7,8,7,10,8,4,8
"","Fairwater (Cardiff) 2 ",3,4,4,3,2,8,6,4,3
"","Fairwater (Cardiff) 3 ",4,3,4,4,4,5,4,5,7
"","Fairwater (Cardiff) 5 ",1,1,1,2,3,3,2,4,7
"","Fairwater (Cardiff) 4 ",2,1,1,2,5,7,3,4,4
"","Fairwater (Cardiff) 6 ",8,8,9,6,7,10,3,3,8
"","Fairwater (Cardiff) 7 ",1,1,1,1,2,3,4,4,5
"","Fairwater (Cardiff) 8 ",6,6,6,6,7,8,4,1,4
"","Ely 1 ",1,1,1,1,1,2,1,2,1
"","Ely 2 ",1,1,1,1,1,2,1,5,2
"","Ely 3 ",1,1,1,1,1,3,2,2,2
"","Ely 4 ",1,1,1,1,1,3,3,3,3
"","Ely 5 ",1,1,1,1,1,3,2,4,1
"","Caerau (Cardiff) 3 ",1,1,1,1,1,2,4,3,4
"","Caerau (Cardiff) 5 ",4,4,3,4,5,8,4,1,4
"","Caerau (Cardiff) 6 ",1,1,2,1,1,4,2,3,4
"","Ely 10 ",1,1,1,2,2,5,1,1,3
"","Ely 6 ",1,1,1,1,1,4,1,2,1
"","Ely 7 ",8,7,8,6,6,6,5,4,10
"","Ely 8 ",1,1,1,2,1,3,3,4,4
"","Ely 9 ",9,8,9,8,8,7,6,3,9
"","Caerau (Cardiff) 1 ",3,3,3,4,2,5,5,5,9
"","Caerau (Cardiff) 2 ",1,1,1,1,1,4,4,4,4
"","Caerau (Cardiff) 4 ",2,1,2,2,1,4,5,6,7
"","Caerau (Cardiff) 7 ",1,1,1,1,2,5,2,4,5
"","Heath 1 ",10,10,10,10,10,10,10,3,9
"","Heath 2 ",8,8,9,7,10,8,1,4,8
"","Heath 3 ",10,10,10,10,10,10,9,2,8
"","Heath 6 ",10,10,10,10,10,10,9,3,7
"","Heath 4 ",9,9,8,8,10,9,9,1,7
"","Heath 7 ",8,8,8,7,8,10,7,1,6
"","Heath 8 ",10,9,10,10,10,10,9,2,8
"","Whitchurch and Tongwynlais 4 ",9,10,9,8,9,8,8,2,8
"","Gabalfa 1 ",8,9,10,9,8,10,3,2,1
"","Gabalfa 2 ",6,8,9,6,4,3,7,2,1
"","Gabalfa 3 ",7,7,9,8,9,7,5,2,1
"","Gabalfa 4 ",8,9,10,8,9,9,7,1,1
"","Cathays 1 ",5,8,10,7,3,4,7,1,1
"","Cathays 2 ",8,10,10,9,8,8,7,2,1
"","Cathays 3 ",5,9,10,7,3,4,6,1,1
"","Cathays 5 ",7,9,10,7,7,5,7,1,1
"","Cathays 8 ",6,7,9,6,6,6,5,1,1
"","Cathays 4 ",5,10,10,6,1,3,8,3,1
"","Cathays 6 ",5,10,10,8,1,4,8,1,1
"","Cathays 7 ",5,10,10,10,2,3,7,1,1
"","Cathays 9 ",5,10,10,9,2,3,5,1,1
"","Cathays 10 ",5,10,10,10,3,2,1,1,3
"","Cathays 11 ",6,10,10,10,9,2,1,1,1
"","Adamsdown 1 ",1,2,4,1,2,5,1,1,1
"","Adamsdown 2 ",2,3,6,3,1,2,2,1,1
"","Adamsdown 3 ",1,1,1,1,1,4,1,1,1
"","Adamsdown 4 ",2,2,3,3,3,5,2,1,1
"","Adamsdown 5 ",1,2,3,2,2,5,3,1,1
"","Splott 2 ",3,3,5,3,4,8,2,1,1
"","Splott 3 ",1,1,1,1,1,4,1,1,2
"","Splott 7 ",3,3,4,4,2,5,1,1,7
"","Splott 8 ",1,1,1,1,1,4,3,1,1
"","Splott 1 ",3,3,4,1,4,7,3,1,2
"","Splott 4 ",2,2,3,3,4,7,3,1,1
"","Splott 5 ",1,1,2,1,3,5,2,1,1
"","Splott 6 ",1,1,1,1,1,2,1,1,1
"","Grangetown 5 ",2,2,6,2,5,5,3,1,1
"","Grangetown 6 ",2,3,4,2,5,7,3,1,1
