LSOA11CD,LSOA11NM,over_65_count
W01001178,Rhondda Cynon Taf 023A,309
W01000685,Carmarthenshire 001A,361
W01001812,Cardiff 017C,266
W01001001,Bridgend 010C,383
W01001762,Cardiff 046D,186
W01001021,Bridgend 014A,277
W01000603,Pembrokeshire 013D,367
W01001485,Torfaen 002D,287
W01001407,Caerphilly 016A,256
W01001486,Torfaen 002E,273
W01001862,Cardiff 042D,147
W01001464,Blaenau Gwent 009A,274
W01001273,Rhondda Cynon Taf 010E,417
W01001503,Torfaen 009B,182
W01001259,Rhondda Cynon Taf 018E,359
W01000075,Gwynedd 002C,201
W01000736,Swansea 028A,531
W01000651,Carmarthenshire 020A,325
W01000650,Carmarthenshire 002B,451
W01001494,Torfaen 008B,411
W01001046,Bridgend 018C,611
W01000688,Carmarthenshire 003B,423
W01001027,Bridgend 017C,480
W01000684,Carmarthenshire 005D,529
W01000655,Carmarthenshire 020C,402
W01000654,Carmarthenshire 023B,311
W01000657,Carmarthenshire 010B,276
W01001500,Torfaen 011D,267
W01000070,Gwynedd 012A,343
W01001256,Rhondda Cynon Taf 019C,247
W01000979,Bridgend 015A,188
W01001651,Newport 002A,407
W01001493,Torfaen 008A,421
W01001821,Cardiff 024A,373
W01000929,Neath Port Talbot 020D,270
W01001624,Newport 001B,268
W01001331,Caerphilly 018B,232
W01001338,Caerphilly 004C,285
W01001333,Caerphilly 018D,201
W01001330,Caerphilly 018A,305
W01001335,Caerphilly 005B,205
W01001332,Caerphilly 018C,269
W01001337,Caerphilly 004B,267
W01001334,Caerphilly 005A,262
W01001339,Caerphilly 004D,251
W01001006,Bridgend 009C,611
W01001861,Cardiff 034D,186
W01000329,Flintshire 015D,201
W01001846,Cardiff 006C,216
W01000585,Pembrokeshire 007B,390
W01001467,Blaenau Gwent 005D,301
W01001526,Torfaen 010B,235
W01000977,Bridgend 003B,258
W01000637,Carmarthenshire 007A,268
W01001675,Newport 007A,233
W01001674,Newport 009E,325
W01001676,Newport 007B,170
W01001677,Newport 007C,320
W01001672,Newport 009C,397
W01000428,Powys 005A,400
W01001777,Cardiff 001A,434
W01000844,Swansea 005F,216
W01001418,Caerphilly 008E,300
W01000294,Flintshire 005C,428
W01000215,Denbighshire 002C,420
W01000214,Denbighshire 002B,236
W01000295,Flintshire 005D,380
W01000217,Denbighshire 008C,467
W01000296,Flintshire 003C,283
W01001428,Caerphilly 001E,217
W01000212,Denbighshire 003A,595
W01000703,Carmarthenshire 022A,333
W01000702,Carmarthenshire 001D,289
W01000784,Swansea 007A,345
W01000705,Carmarthenshire 022C,351
W01001480,Blaenau Gwent 003E,356
W01001401,Caerphilly 011A,508
W01001400,Caerphilly 019F,185
W01000782,Swansea 023C,309
W01000928,Neath Port Talbot 020C,357
W01001458,Blaenau Gwent 004E,299
W01001459,Blaenau Gwent 007D,174
W01000778,Swansea 012C,305
W01000779,Swansea 012D,257
W01001007,Bridgend 009D,326
W01001120,The Vale of Glamorgan 014D,299
W01001123,The Vale of Glamorgan 005B,466
W01000002,Isle of Anglesey 007B,319
W01000636,Carmarthenshire 025B,345
W01000771,Swansea 020D,349
W01000947,Neath Port Talbot 004C,373
W01000946,Neath Port Talbot 004B,374
W01001512,Torfaen 005C,483
W01001594,Monmouthshire 007E,386
W01001514,Torfaen 006A,310
W01001515,Torfaen 006B,264
W01001596,Monmouthshire 006E,435
W01001595,Monmouthshire 007F,363
W01000945,Neath Port Talbot 014E,237
W01001593,Monmouthshire 008E,248
W01000944,Neath Port Talbot 002B,279
W01001648,Newport 015G,344
W01001649,Newport 004D,413
W01000531,Ceredigion 010C,602
W01000533,Ceredigion 010D,407
W01001589,Monmouthshire 010E,371
W01001507,Torfaen 008D,501
W01000560,Pembrokeshire 001C,343
W01000563,Pembrokeshire 011B,318
W01000562,Pembrokeshire 002A,515
W01000565,Pembrokeshire 002B,655
W01001689,Newport 019D,392
W01000113,Gwynedd 009C,421
W01001383,Caerphilly 010D,295
W01001302,Merthyr Tydfil 006B,185
W01001384,Caerphilly 002C,276
W01001305,Merthyr Tydfil 003C,254
W01001385,Caerphilly 002D,348
W01001304,Merthyr Tydfil 006D,293
W01001386,Caerphilly 002E,295
W01001307,Merthyr Tydfil 004C,315
W01001382,Caerphilly 010C,401
W01001303,Merthyr Tydfil 006C,143
W01001527,Torfaen 010C,344
W01000975,Bridgend 004A,336
W01000963,Neath Port Talbot 016E,360
W01000962,Neath Port Talbot 016D,211
W01000965,Neath Port Talbot 002C,459
W01000964,Neath Port Talbot 016F,350
W01000967,Neath Port Talbot 019C,272
W01000966,Neath Port Talbot 018E,365
W01001220,Rhondda Cynon Taf 018D,281
W01001223,Rhondda Cynon Taf 031C,381
W01001225,Rhondda Cynon Taf 031E,437
W01001222,Rhondda Cynon Taf 001E,266
W01001224,Rhondda Cynon Taf 031D,296
W01001221,Rhondda Cynon Taf 001D,326
W01000241,Denbighshire 004F,164
W01001569,Monmouthshire 003E,437
W01001568,Monmouthshire 005C,450
W01001122,The Vale of Glamorgan 014F,203
W01001125,The Vale of Glamorgan 005D,331
W01001908,Monmouthshire 010G,506
W01001124,The Vale of Glamorgan 005C,241
W01001127,The Vale of Glamorgan 001B,369
W01001126,The Vale of Glamorgan 005E,362
W01000253,Flintshire 003A,364
W01001314,Merthyr Tydfil 005A,426
W01000681,Carmarthenshire 011B,460
W01001607,Newport 015A,111
W01000112,Gwynedd 008D,390
W01000503,Powys 020C,266
W01001669,Newport 009A,327
W01000825,Swansea 031C,383
W01000139,Conwy 007A,328
W01001829,Cardiff 033A,80
W01000003,Isle of Anglesey 001A,598
W01000480,Powys 008A,420
W01001791,Cardiff 005A,428
W01001710,Cardiff 040B,207
W01001713,Cardiff 040E,153
W01000424,Wrexham 012E,247
W01001732,Cardiff 019A,365
W01000805,Swansea 028D,342
W01000883,Neath Port Talbot 016A,442
W01001735,Cardiff 019D,449
W01000884,Neath Port Talbot 017A,187
W01001734,Cardiff 019C,353
W01000885,Neath Port Talbot 017B,253
W01000804,Swansea 028C,570
W01000807,Swansea 003B,287
W01001737,Cardiff 039A,223
W01000802,Swansea 007D,417
W01001711,Cardiff 040C,282
W01001790,Cardiff 023F,234
W01000698,Carmarthenshire 015B,392
W01000619,Pembrokeshire 016B,675
W01000618,Pembrokeshire 003D,427
W01000699,Carmarthenshire 015C,374
W01001765,Cardiff 044B,126
W01001764,Cardiff 044A,146
W01001767,Cardiff 044D,142
W01001766,Cardiff 044C,144
W01001406,Caerphilly 001D,411
W01000787,Swansea 016C,216
W01001404,Caerphilly 011D,426
W01001484,Torfaen 002C,346
W01000446,Powys 015D,470
W01001427,Caerphilly 024F,182
W01001426,Caerphilly 024E,310
W01001424,Caerphilly 024C,362
W01001365,Caerphilly 012C,309
W01001155,Rhondda Cynon Taf 002D,367
W01000706,Carmarthenshire 025C,279
W01000324,Flintshire 012D,356
W01000758,Swansea 017D,353
W01000196,Denbighshire 012B,252
W01001468,Blaenau Gwent 005E,271
W01000509,Ceredigion 009C,621
W01000584,Pembrokeshire 014C,574
W01001487,Torfaen 001A,338
W01000997,Bridgend 012A,459
W01000916,Neath Port Talbot 010E,246
W01001631,Newport 017C,280
W01001630,Newport 017B,406
W01001633,Newport 019A,186
W01001219,Rhondda Cynon Taf 018C,276
W01001298,Merthyr Tydfil 002D,286
W01001218,Rhondda Cynon Taf 018B,274
W01001299,Merthyr Tydfil 008A,255
W01000744,Swansea 016B,186
W01000747,Swansea 024A,178
W01000950,Neath Port Talbot 018B,275
W01000953,Neath Port Talbot 005B,349
W01000745,Swansea 025B,166
W01000951,Neath Port Talbot 018C,266
W01001572,Monmouthshire 011A,426
W01001575,Monmouthshire 005D,340
W01001574,Monmouthshire 011C,276
W01001577,Monmouthshire 004E,442
W01001573,Monmouthshire 011B,299
W01000819,Swansea 009C,498
W01001788,Cardiff 023D,190
W01001709,Cardiff 040A,250
W01001789,Cardiff 023E,241
W01001697,Cardiff 036D,169
W01001616,Newport 005C,329
W01000479,Powys 009B,228
W01000478,Powys 009A,190
W01001696,Cardiff 036C,136
W01001617,Newport 003A,257
W01001758,Cardiff 025D,155
W01000868,Swansea 024B,258
W01000869,Swansea 024C,279
W01000839,Swansea 030C,337
W01000838,Swansea 004E,243
W01000366,Wrexham 014A,270
W01001554,Monmouthshire 004C,463
W01001557,Monmouthshire 001C,394
W01001556,Monmouthshire 006B,287
W01000388,Wrexham 008E,253
W01000309,Flintshire 019C,440
W01000389,Wrexham 017D,410
W01000308,Flintshire 020C,269
W01000380,Wrexham 004D,342
W01000301,Flintshire 006E,414
W01001555,Monmouthshire 006A,317
W01001745,Cardiff 043D,286
W01001744,Cardiff 043C,282
W01001742,Cardiff 043A,197
W01001315,Merthyr Tydfil 004D,350
W01001280,Rhondda Cynon Taf 017E,319
W01001201,Rhondda Cynon Taf 014B,264
W01001200,Rhondda Cynon Taf 014A,186
W01000351,Wrexham 005A,422
W01000350,Wrexham 011B,162
W01000353,Wrexham 010B,169
W01000352,Wrexham 010A,241
W01000355,Wrexham 017B,369
W01000354,Wrexham 017A,425
W01000356,Wrexham 017C,315
W01000069,Gwynedd 013A,555
W01000359,Wrexham 019C,259
W01000842,Swansea 005D,390
W01001023,Bridgend 014C,362
W01000440,Powys 020A,394
W01001498,Torfaen 011B,250
W01000023,Isle of Anglesey 007D,302
W01000022,Isle of Anglesey 004A,438
W01000025,Isle of Anglesey 009B,436
W01000024,Isle of Anglesey 007E,109
W01000027,Isle of Anglesey 009C,427
W01000026,Isle of Anglesey 005D,424
W01000179,Conwy 010F,757
W01000178,Conwy 010E,498
W01000021,Isle of Anglesey 002C,658
W01000020,Isle of Anglesey 002B,407
W01000233,Denbighshire 017C,308
W01001864,Cardiff 022B,407
W01001501,Torfaen 009A,176
W01001771,Cardiff 018C,338
W01000828,Swansea 018B,551
W01000506,Ceredigion 005A,496
W01000987,Bridgend 007B,361
W01000906,Neath Port Talbot 007A,364
W01000986,Bridgend 007A,183
W01000907,Neath Port Talbot 007B,381
W01000985,Bridgend 015C,156
W01000904,Neath Port Talbot 006C,360
W01000984,Bridgend 016D,287
W01001492,Torfaen 012A,479
W01001815,Cardiff 008D,257
W01001082,The Vale of Glamorgan 002A,627
W01000508,Ceredigion 009B,330
W01000905,Neath Port Talbot 006D,250
W01000983,Bridgend 015B,180
W01000902,Neath Port Talbot 006A,344
W01000982,Bridgend 016C,401
W01000903,Neath Port Talbot 006B,338
W01000900,Neath Port Talbot 014C,355
W01000981,Bridgend 016B,131
W01000466,Powys 010C,393
W01000340,Flintshire 002C,601
W01000076,Gwynedd 001B,203
W01000049,Gwynedd 016B,253
W01000336,Flintshire 009E,199
W01000041,Isle of Anglesey 006D,261
W01000048,Gwynedd 016A,402
W01000043,Isle of Anglesey 004E,338
W01000040,Isle of Anglesey 004D,433
W01000044,Isle of Anglesey 004F,371
W01000042,Isle of Anglesey 008D,417
W01000337,Flintshire 009F,382
W01000334,Flintshire 009C,317
W01000009,Isle of Anglesey 007C,435
