LSOA11CD,LSOA11NM,over_65_count
W01001272,Rhondda Cynon Taf 010D,307
W01000921,Neath Port Talbot 011B,291
W01000920,Neath Port Talbot 011A,260
W01000411,Wrexham 015C,355
W01000410,Wrexham 014D,329
W01001258,Rhondda Cynon Taf 019E,259
W01000379,Wrexham 004C,311
W01000378,Wrexham 004B,188
W01000371,Wrexham 008B,162
W01000370,Wrexham 020G,477
W01000373,Wrexham 005B,267
W01001603,Newport 012C,242
W01000077,Gwynedd 001C,166
W01001132,The Vale of Glamorgan 008D,290
W01001133,The Vale of Glamorgan 008E,663
W01001134,The Vale of Glamorgan 008F,334
W01001135,The Vale of Glamorgan 003C,408
W01001136,The Vale of Glamorgan 003D,439
W01001137,Rhondda Cynon Taf 005A,469
W01001168,Rhondda Cynon Taf 004B,342
W01001169,Rhondda Cynon Taf 004C,282
W01001160,Rhondda Cynon Taf 029A,371
W01001161,Rhondda Cynon Taf 029B,378
W01001165,Rhondda Cynon Taf 019B,176
W01001130,The Vale of Glamorgan 005F,233
W01001162,Rhondda Cynon Taf 025A,321
W01001131,The Vale of Glamorgan 008C,352
W01001167,Rhondda Cynon Taf 016B,297
W01001164,Rhondda Cynon Taf 019A,253
W01001056,Bridgend 007D,320
W01001057,Bridgend 006B,262
W01001461,Blaenau Gwent 007F,262
W01000200,Denbighshire 008A,325
W01000281,Flintshire 008D,283
W01001948,Cardiff 006E,141
W01000282,Flintshire 010C,109
W01001941,Cardiff 032G,46
W01001940,Cardiff 048A,155
W01001949,Cardiff 005F,161
W01000529,Ceredigion 007A,402
W01000528,Ceredigion 008B,377
W01001495,Torfaen 008C,571
W01000431,Powys 014A,215
W01001542,Monmouthshire 009A,493
W01001634,Newport 019B,266
W01001637,Newport 016B,401
W01001538,Torfaen 009D,226
W01000430,Powys 015A,396
W01001562,Monmouthshire 003B,290
W01001565,Monmouthshire 006D,504
W01000088,Gwynedd 007B,469
W01001564,Monmouthshire 003D,742
W01001904,Powys 018G,523
W01001539,Torfaen 009E,231
W01001563,Monmouthshire 003C,308
W01000580,Pembrokeshire 009B,634
W01000030,Isle of Anglesey 003D,453
W01000031,Isle of Anglesey 001E,422
W01000242,Denbighshire 014A,446
W01000032,Isle of Anglesey 002D,344
W01000033,Isle of Anglesey 003E,330
W01000034,Isle of Anglesey 004B,304
W01000035,Isle of Anglesey 005E,476
W01000245,Denbighshire 010A,486
W01000036,Isle of Anglesey 003F,165
W01000037,Isle of Anglesey 003G,289
W01000038,Isle of Anglesey 009D,647
W01000039,Isle of Anglesey 004C,362
W01000180,Conwy 008C,396
W01000108,Gwynedd 012D,496
W01000100,Gwynedd 010B,310
W01001929,Wrexham 012F,153
W01000101,Gwynedd 013D,307
W01000182,Conwy 007D,758
W01000181,Conwy 008D,265
W01000183,Conwy 008E,459
W01000103,Gwynedd 005D,235
W01000827,Swansea 031E,375
W01000189,Conwy 015F,319
W01000188,Conwy 002D,493
W01001395,Caerphilly 023C,341
W01001922,Cardiff 032E,25
W01000131,Conwy 012D,459
W01001206,Rhondda Cynon Taf 006C,341
W01001287,Rhondda Cynon Taf 014F,294
W01000276,Flintshire 008A,88
W01000277,Flintshire 008B,158
W01000444,Powys 002A,697
W01001586,Monmouthshire 007D,511
W01000564,Pembrokeshire 011C,371
W01001601,Newport 006A,160
W01001921,Bridgend 017H,134
W01000342,Wrexham 009B,325
W01001951,Cardiff 049E,52
W01001436,Blaenau Gwent 008B,297
W01001437,Blaenau Gwent 008C,292
W01001434,Caerphilly 013F,256
W01001435,Blaenau Gwent 008A,224
W01000541,Ceredigion 008E,489
W01001752,Cardiff 031B,311
W01001279,Rhondda Cynon Taf 028F,252
W01001546,Monmouthshire 002A,220
W01001432,Caerphilly 013D,419
W01001433,Caerphilly 013E,306
W01001430,Caerphilly 015B,385
W01001431,Caerphilly 015C,322
W01000504,Powys 021D,226
W01000974,Bridgend 006A,418
W01001545,Monmouthshire 001A,622
W01000845,Swansea 001A,386
W01000326,Flintshire 018B,419
W01000197,Denbighshire 012C,373
W01001438,Blaenau Gwent 004A,350
W01001439,Blaenau Gwent 004B,351
W01001367,Caerphilly 019B,295
W01001543,Monmouthshire 009B,394
W01001157,Rhondda Cynon Taf 028A,290
W01001540,Torfaen 004E,190
W01001541,Torfaen 004F,249
W01000582,Pembrokeshire 004A,482
W01001038,Bridgend 011C,458
W01001039,Bridgend 009E,343
W01001757,Cardiff 025C,112
W01000368,Wrexham 008A,638
W01001900,Neath Port Talbot 020G,282
W01000151,Conwy 005C,275
W01000653,Carmarthenshire 023A,404
W01001632,Newport 017D,233
W01001635,Newport 016A,237
W01000652,Carmarthenshire 020B,404
W01000008,Isle of Anglesey 008A,426
W01001906,Powys 001F,569
W01001059,The Vale of Glamorgan 015A,399
W01001058,Bridgend 006C,324
W01001051,Bridgend 008E,299
W01001050,Bridgend 008D,246
W01001053,Bridgend 018E,406
W01001052,Bridgend 008F,297
W01001055,Bridgend 007C,225
W01001054,Bridgend 018F,483
W01001387,Caerphilly 007C,241
W01001306,Merthyr Tydfil 003D,264
W01001348,Caerphilly 009A,346
W01001349,Caerphilly 009B,287
W01001627,Newport 001E,398
W01000438,Powys 012A,498
W01001368,Caerphilly 019C,268
W01000209,Denbighshire 016D,408
W01000288,Flintshire 004A,374
W01000208,Denbighshire 016C,321
W01001226,Rhondda Cynon Taf 031F,272
W01001227,Rhondda Cynon Taf 021C,296
W01000240,Denbighshire 004E,209
W01000243,Denbighshire 014B,453
W01001561,Monmouthshire 003A,613
W01001560,Monmouthshire 006C,373
W01001158,Rhondda Cynon Taf 028B,222
W01001860,Cardiff 034C,209
W01001203,Rhondda Cynon Taf 009D,267
W01001282,Rhondda Cynon Taf 015C,366
W01001283,Rhondda Cynon Taf 015D,359
W01001202,Rhondda Cynon Taf 009C,398
W01000060,Gwynedd 015B,326
W01000063,Gwynedd 005A,358
W01000062,Gwynedd 001A,103
W01001281,Rhondda Cynon Taf 017F,374
W01000278,Flintshire 007D,189
W01000065,Gwynedd 009B,270
W01000279,Flintshire 008C,362
W01000064,Gwynedd 002A,269
W01000067,Gwynedd 016D,342
W01000066,Gwynedd 010A,383
W01000109,Gwynedd 012E,505
W01000271,Flintshire 006C,367
W01000270,Flintshire 006B,297
W01000068,Gwynedd 016E,389
W01000061,Gwynedd 011B,606
W01001587,Monmouthshire 008C,381
W01000173,Conwy 003B,295
W01000172,Conwy 013E,189
W01000175,Conwy 003D,751
W01000174,Conwy 003C,523
W01000177,Conwy 011E,289
W01000176,Conwy 011D,268
W01000171,Conwy 013D,402
W01000170,Conwy 013C,500
W01000115,Gwynedd 003E,417
W01001392,Caerphilly 009D,443
W01001868,Cardiff 022D,263
W01001522,Torfaen 007D,331
W01001425,Caerphilly 024D,327
W01000297,Flintshire 003D,143
W01001690,Newport 013D,195
W01001611,Newport 011A,208
W01001691,Newport 011D,172
W01001610,Newport 015C,223
W01000549,Ceredigion 001E,382
W01000548,Ceredigion 001D,473
W01001241,Rhondda Cynon Taf 026D,343
W01001466,Blaenau Gwent 009C,318
W01001878,Cardiff 011B,316
W01001879,Cardiff 013A,232
W01001411,Caerphilly 017A,421
W01000502,Powys 021C,660
W01001776,Cardiff 021C,239
W01000846,Swansea 001B,300
W01001065,The Vale of Glamorgan 012B,250
W01001064,The Vale of Glamorgan 013B,300
W01001067,The Vale of Glamorgan 009A,288
W01001066,The Vale of Glamorgan 015D,282
W01001188,Rhondda Cynon Taf 001C,256
W01001109,The Vale of Glamorgan 011C,418
W01001189,Rhondda Cynon Taf 029C,258
W01001108,The Vale of Glamorgan 014A,291
W01001063,The Vale of Glamorgan 012A,238
W01001062,The Vale of Glamorgan 013A,220
W01001773,Cardiff 012A,371
W01000363,Wrexham 006D,388
W01001903,Powys 018F,733
W01000152,Conwy 005D,368
W01001620,Newport 003D,214
W01001177,Rhondda Cynon Taf 009B,273
W01000448,Powys 011B,389
W01000047,Gwynedd 011A,360
W01001084,The Vale of Glamorgan 002C,520
W01000254,Flintshire 003B,424
W01000609,Pembrokeshire 014D,965
W01001026,Bridgend 012D,400
W01000605,Pembrokeshire 013F,331
W01000157,Conwy 004C,306
W01001897,Powys 020D,532
W01001004,Bridgend 009A,242
W01001866,Cardiff 016A,375
W01000078,Gwynedd 011C,362
W01001257,Rhondda Cynon Taf 019D,320
W01001441,Blaenau Gwent 001B,235
W01000957,Neath Port Talbot 017D,391
W01000954,Neath Port Talbot 005C,305
W01000956,Neath Port Talbot 004F,428
W01001440,Blaenau Gwent 001A,304
W01000746,Swansea 025C,240
W01000955,Neath Port Talbot 004E,301
W01000952,Neath Port Talbot 018D,206
W01001576,Monmouthshire 004D,210
W01000899,Neath Port Talbot 014B,394
W01000818,Swansea 009B,339
W01001708,Cardiff 045D,249
W01000898,Neath Port Talbot 014A,329
W01000471,Powys 014E,532
W01000470,Powys 001D,555
W01000473,Powys 004C,555
W01001211,Rhondda Cynon Taf 008C,305
W01000439,Powys 007B,485
W01001317,Merthyr Tydfil 005C,356
W01000321,Flintshire 014D,444
W01000450,Powys 014C,407
W01000451,Powys 012B,318
W01000831,Swansea 013D,266
W01000830,Swansea 011A,140
W01000833,Swansea 011C,227
W01000648,Carmarthenshire 006D,353
W01000649,Carmarthenshire 006E,460
W01000303,Flintshire 018A,349
W01000382,Wrexham 012B,156
W01000302,Flintshire 013F,581
W01000383,Wrexham 020A,337
W01000305,Flintshire 003F,398
W01000384,Wrexham 020B,354
W01000304,Flintshire 003E,357
W01000385,Wrexham 014C,433
W01000381,Wrexham 012A,243
W01000300,Flintshire 019B,470
W01000629,Carmarthenshire 024B,302
W01000628,Carmarthenshire 024A,384
W01000773,Swansea 005A,381
W01000772,Swansea 018A,386
W01000775,Swansea 030A,500
W01001516,Torfaen 006C,297
W01000770,Swansea 020C,373
W01001597,Monmouthshire 006F,408
W01001517,Torfaen 006D,376
W01001746,Cardiff 041D,301
W01001747,Cardiff 027A,302
W01000535,Ceredigion 008C,563
W01000534,Ceredigion 011B,380
W01000532,Ceredigion 007B,623
W01001950,Cardiff 049D,177
W01001953,Cardiff 005G,214
W01000567,Pembrokeshire 002D,497
W01000566,Pembrokeshire 002C,431
W01001505,Torfaen 013B,449
W01001250,Rhondda Cynon Taf 024B,358
W01001311,Merthyr Tydfil 002F,168
W01000256,Flintshire 015B,221
W01001172,Rhondda Cynon Taf 020A,313
W01000442,Powys 004A,494
W01001003,Bridgend 015D,522
W01001275,Rhondda Cynon Taf 013C,292
W01001502,Torfaen 011E,253
