LSOA11CD,LSOA11NM,percent_welsh_speakers
W01001664,Newport 010A,6.2
W01000692,Carmarthenshire 019C,38.4
W01000613,Pembrokeshire 001E,46.1
W01000693,Carmarthenshire 008C,50.5
W01000612,Pembrokeshire 003C,29.0
W01000610,Pembrokeshire 016A,12.4
W01001508,Torfaen 013C,8.5
W01001253,Rhondda Cynon Taf 023C,7.4
W01001604,Newport 012D,9.3
W01000191,Denbighshire 009A,17.9
W01000973,Neath Port Talbot 020F,47.3
W01001911,The Vale of Glamorgan 012H,10.2
W01001910,The Vale of Glamorgan 012G,9.9
W01001727,Cardiff 014A,22.9
W01001726,Cardiff 028E,11.8
W01001937,Ceredigion 001F,40.6
W01001934,Ceredigion 002F,23.1
W01001936,Ceredigion 003F,24.4
W01001724,Cardiff 032C,11.0
W01001935,Ceredigion 003E,39.2
W01001416,Caerphilly 008C,10.0
W01001932,Gwynedd 014E,74.7
W01001958,Swansea 025H,8.3
W01000941,Neath Port Talbot 012B,9.3
W01000940,Neath Port Talbot 008E,8.0
W01000942,Neath Port Talbot 012C,7.3
W01000943,Neath Port Talbot 012D,11.3
W01000597,Pembrokeshire 002E,42.8
W01000853,Swansea 022A,10.3
W01000855,Swansea 022C,10.9
W01000852,Swansea 021D,7.2
W01000857,Swansea 022E,9.3
W01000854,Swansea 022B,10.8
W01000850,Swansea 021B,6.5
W01001928,Conwy 010H,10.3
W01000841,Swansea 005C,12.5
W01001927,Conwy 010G,12.6
W01000132,Conwy 001A,17.9
W01000568,Pembrokeshire 005A,15.6
W01000569,Pembrokeshire 005B,12.7
W01000561,Pembrokeshire 001D,58.3
W01001518,Torfaen 006E,7.4
W01001309,Merthyr Tydfil 008E,6.4
W01001388,Caerphilly 007D,12.2
W01001308,Merthyr Tydfil 008D,5.7
W01001389,Caerphilly 007E,12.7
W01001301,Merthyr Tydfil 008C,7.2
W01001380,Caerphilly 010A,10.2
W01001300,Merthyr Tydfil 008B,5.4
W01001381,Caerphilly 010B,7.5
W01001232,Rhondda Cynon Taf 020D,11.1
W01001234,Rhondda Cynon Taf 021E,14.0
W01001235,Rhondda Cynon Taf 021F,11.4
W01001237,Rhondda Cynon Taf 022B,7.8
W01000961,Neath Port Talbot 016C,8.0
W01000097,Gwynedd 003D,79.3
W01000017,Isle of Anglesey 003B,42.9
W01000129,Conwy 012B,27.3
W01000016,Isle of Anglesey 003A,39.1
W01000121,Conwy 015A,50.3
W01000128,Conwy 009C,20.1
W01000122,Conwy 014A,45.4
W01000123,Conwy 013A,45.0
W01000096,Gwynedd 003C,83.0
W01000014,Isle of Anglesey 006C,80.8
W01000085,Gwynedd 017C,35.9
W01001096,The Vale of Glamorgan 007E,9.4
W01001014,Bridgend 002A,10.4
W01001097,The Vale of Glamorgan 007F,9.3
W01001017,Bridgend 002C,16.0
W01001129,The Vale of Glamorgan 004F,11.6
W01001016,Bridgend 005C,10.3
W01001121,The Vale of Glamorgan 014E,7.8
W01001128,The Vale of Glamorgan 001C,10.0
W01001095,The Vale of Glamorgan 007D,9.3
W01001094,The Vale of Glamorgan 007C,11.2
W01001024,Bridgend 003C,7.2
W01000527,Ceredigion 008A,36.5
W01001009,Bridgend 004C,8.2
W01001536,Torfaen 009C,12.2
W01000559,Pembrokeshire 001B,55.9
W01000558,Pembrokeshire 001A,51.7
W01001877,Cardiff 011A,7.3
W01001874,Cardiff 038D,8.1
W01001876,Cardiff 037D,6.7
W01001875,Cardiff 037C,8.7
W01001872,Cardiff 038B,10.0
W01000721,Carmarthenshire 027C,54.7
W01000720,Carmarthenshire 027B,46.6
W01001636,Newport 020A,11.7
W01001419,Caerphilly 021D,11.5
W01001889,Cardiff 020B,12.0
W01001808,Cardiff 007C,7.2
W01001442,Blaenau Gwent 001C,7.9
W01001445,Blaenau Gwent 005C,10.3
W01001888,Cardiff 010A,16.0
W01001809,Cardiff 017A,9.6
W01001443,Blaenau Gwent 005A,6.7
W01001781,Cardiff 026C,20.3
W01001703,Cardiff 045B,7.2
W01001782,Cardiff 026D,15.6
W01001783,Cardiff 026E,11.0
W01001780,Cardiff 026B,16.9
W01001558,Monmouthshire 002C,8.4
W01001559,Monmouthshire 008A,7.9
W01001291,Merthyr Tydfil 003A,13.6
W01001210,Rhondda Cynon Taf 008B,8.9
W01001213,Rhondda Cynon Taf 011A,13.1
W01001292,Merthyr Tydfil 004A,8.6
W01001212,Rhondda Cynon Taf 008D,8.7
W01001290,Merthyr Tydfil 007A,9.3
W01000980,Bridgend 016A,9.3
W01000901,Neath Port Talbot 014D,18.0
W01000811,Swansea 008B,8.7
W01000890,Neath Port Talbot 015B,8.4
W01000810,Swansea 003D,8.2
W01000891,Neath Port Talbot 015C,7.5
W01000475,Powys 001E,32.7
W01000474,Powys 020B,25.7
W01000477,Powys 012D,12.2
W01000590,Pembrokeshire 012B,7.3
W01000511,Ceredigion 009E,46.9
W01000476,Powys 005C,12.4
W01000640,Carmarthenshire 007D,47.9
W01000472,Powys 012C,11.4
W01001749,Cardiff 027C,8.4
W01001748,Cardiff 027B,8.8
W01000641,Carmarthenshire 008A,35.5
W01000453,Powys 010B,14.2
W01000452,Powys 004B,52.3
W01001901,Powys 017F,13.7
W01000159,Conwy 014B,65.8
W01001329,Caerphilly 014C,11.6
W01000261,Flintshire 014C,11.0
W01000260,Flintshire 017B,9.1
W01000268,Flintshire 013B,11.5
W01000269,Flintshire 020A,12.6
W01001471,Blaenau Gwent 001E,6.7
W01001318,Merthyr Tydfil 005D,6.2
W01001170,Rhondda Cynon Taf 004D,12.0
W01000306,Flintshire 002A,17.0
W01000387,Wrexham 008D,16.1
W01000059,Gwynedd 006A,86.2
W01000051,Gwynedd 015A,78.5
W01000050,Gwynedd 003A,61.9
W01000053,Gwynedd 004B,73.1
W01000052,Gwynedd 004A,87.3
W01000054,Gwynedd 007A,82.6
W01000307,Flintshire 020B,14.4
W01000386,Wrexham 015A,14.7
W01001957,Swansea 025G,8.2
W01001954,Cardiff 006F,14.3
W01001956,Swansea 023E,8.1
W01001955,Swansea 025F,5.0
W01001952,Cardiff 049F,9.3
W01001839,Cardiff 030E,9.9
W01001838,Cardiff 030D,12.8
W01001894,Cardiff 010C,13.3
W01001000,Bridgend 010B,10.9
W01000229,Denbighshire 017E,13.8
W01001142,Rhondda Cynon Taf 005F,8.2
W01001247,Rhondda Cynon Taf 016C,10.0
W01001140,Rhondda Cynon Taf 005D,10.0
W01001242,Rhondda Cynon Taf 030D,15.0
W01001141,Rhondda Cynon Taf 005E,10.0
W01000007,Isle of Anglesey 009A,68.3
W01000223,Denbighshire 009B,18.0
W01000222,Denbighshire 003C,13.9
W01000220,Denbighshire 001C,8.3
W01000496,Powys 021B,24.4
W01000497,Powys 005D,14.7
W01000417,Wrexham 020D,8.4
W01000416,Wrexham 007D,9.6
W01000414,Wrexham 010D,8.6
W01001398,Caerphilly 024A,15.2
W01001855,Cardiff 042A,9.1
W01001852,Cardiff 004B,13.2
W01001857,Cardiff 042C,7.7
W01001854,Cardiff 004D,9.9
W01001856,Cardiff 042B,7.7
W01001179,Rhondda Cynon Taf 023B,8.1
W01001853,Cardiff 004C,11.7
W01000443,Powys 015B,8.7
W01001892,Cardiff 020D,14.0
W01001080,The Vale of Glamorgan 012F,11.2
W01001582,Monmouthshire 011D,15.6
W01001681,Newport 006B,7.8
W01000072,Gwynedd 002B,51.7
W01000398,Wrexham 013A,17.7
W01000319,Flintshire 016G,17.5
W01000989,Bridgend 013A,13.0
W01000621,Pembrokeshire 016D,10.5
W01000908,Neath Port Talbot 006E,12.8
W01000620,Pembrokeshire 016C,7.7
W01000909,Neath Port Talbot 009A,8.5
W01000542,Ceredigion 011F,54.3
W01000545,Ceredigion 007D,48.5
W01000822,Swansea 009F,9.8
W01001920,Bridgend 017G,10.8
W01000346,Wrexham 018B,8.6
W01001779,Cardiff 026A,15.8
W01001909,Monmouthshire 002F,9.6
W01000082,Gwynedd 015C,67.1
W01001261,Rhondda Cynon Taf 018F,8.1
W01000258,Flintshire 006A,17.5
W01001260,Rhondda Cynon Taf 014C,8.8
W01001028,Bridgend 014D,10.5
W01000682,Carmarthenshire 005B,60.4
W01001811,Cardiff 009A,6.7
W01001362,Caerphilly 003C,9.5
W01001152,Rhondda Cynon Taf 002B,14.3
W01000325,Flintshire 010D,12.1
W01000759,Swansea 012A,13.0
W01000117,Gwynedd 017E,39.3
W01000656,Carmarthenshire 010A,58.5
W01001528,Torfaen 010D,10.4
W01000735,Carmarthenshire 027D,42.4
W01001491,Torfaen 004A,8.1
W01000505,Powys 021E,44.3
W01000821,Swansea 009E,7.0
W01001263,Rhondda Cynon Taf 022E,9.3
W01001262,Rhondda Cynon Taf 022D,10.1
W01001272,Rhondda Cynon Taf 010D,14.4
W01000921,Neath Port Talbot 011B,5.4
W01000920,Neath Port Talbot 011A,8.6
W01000411,Wrexham 015C,26.5
W01000410,Wrexham 014D,27.4
W01001258,Rhondda Cynon Taf 019E,11.8
W01000379,Wrexham 004C,10.8
W01000378,Wrexham 004B,12.1
W01000371,Wrexham 008B,11.3
W01000370,Wrexham 020G,9.9
W01000373,Wrexham 005B,10.9
W01001603,Newport 012C,9.4
W01000077,Gwynedd 001C,35.2
W01001132,The Vale of Glamorgan 008D,10.5
W01001133,The Vale of Glamorgan 008E,7.9
W01001134,The Vale of Glamorgan 008F,7.7
W01001135,The Vale of Glamorgan 003C,14.4
W01001136,The Vale of Glamorgan 003D,12.0
W01001137,Rhondda Cynon Taf 005A,9.0
W01001168,Rhondda Cynon Taf 004B,10.6
W01001169,Rhondda Cynon Taf 004C,9.6
W01001160,Rhondda Cynon Taf 029A,11.8
W01001161,Rhondda Cynon Taf 029B,13.2
W01001165,Rhondda Cynon Taf 019B,14.1
W01001130,The Vale of Glamorgan 005F,13.2
W01001162,Rhondda Cynon Taf 025A,14.5
W01001131,The Vale of Glamorgan 008C,11.0
W01001167,Rhondda Cynon Taf 016B,10.2
W01001164,Rhondda Cynon Taf 019A,11.8
W01001056,Bridgend 007D,8.8
W01001057,Bridgend 006B,9.1
W01001461,Blaenau Gwent 007F,6.3
W01000200,Denbighshire 008A,23.2
W01000281,Flintshire 008D,9.4
W01001948,Cardiff 006E,14.1
W01000282,Flintshire 010C,13.9
W01001941,Cardiff 032G,5.9
W01001940,Cardiff 048A,10.3
W01001949,Cardiff 005F,8.1
W01000529,Ceredigion 007A,50.7
W01000528,Ceredigion 008B,57.8
W01001495,Torfaen 008C,11.5
W01000431,Powys 014A,15.8
W01001542,Monmouthshire 009A,8.7
W01001634,Newport 019B,8.8
W01001637,Newport 016B,11.8
W01001538,Torfaen 009D,10.8
W01000430,Powys 015A,9.7
W01001562,Monmouthshire 003B,10.9
W01001565,Monmouthshire 006D,9.0
W01000088,Gwynedd 007B,81.6
W01001564,Monmouthshire 003D,10.8
W01001904,Powys 018G,9.4
W01001539,Torfaen 009E,10.2
W01001563,Monmouthshire 003C,7.4
W01000580,Pembrokeshire 009B,12.8
W01000030,Isle of Anglesey 003D,40.6
W01000031,Isle of Anglesey 001E,61.1
W01000242,Denbighshire 014A,37.8
W01000032,Isle of Anglesey 002D,52.3
W01000033,Isle of Anglesey 003E,40.4
W01000034,Isle of Anglesey 004B,50.4
W01000035,Isle of Anglesey 005E,54.8
W01000245,Denbighshire 010A,26.3
W01000036,Isle of Anglesey 003F,39.8
W01000037,Isle of Anglesey 003G,39.6
W01000038,Isle of Anglesey 009D,59.3
W01000039,Isle of Anglesey 004C,42.9
W01000180,Conwy 008C,16.3
W01000108,Gwynedd 012D,79.1
W01000100,Gwynedd 010B,72.3
W01001929,Wrexham 012F,7.5
W01000101,Gwynedd 013D,76.5
W01000182,Conwy 007D,14.8
W01000181,Conwy 008D,20.6
W01000183,Conwy 008E,15.7
W01000103,Gwynedd 005D,59.3
W01000827,Swansea 031E,10.2
W01000189,Conwy 015F,60.7
W01000188,Conwy 002D,24.7
W01001395,Caerphilly 023C,12.1
W01001922,Cardiff 032E,11.9
W01000131,Conwy 012D,30.9
W01001206,Rhondda Cynon Taf 006C,8.3
W01001287,Rhondda Cynon Taf 014F,13.8
W01000276,Flintshire 008A,12.1
W01000277,Flintshire 008B,11.2
W01000444,Powys 002A,15.6
W01001586,Monmouthshire 007D,8.4
W01000564,Pembrokeshire 011C,12.0
W01001601,Newport 006A,12.0
W01001921,Bridgend 017H,13.2
W01000342,Wrexham 009B,10.1
W01001951,Cardiff 049E,10.6
W01001436,Blaenau Gwent 008B,6.7
W01001437,Blaenau Gwent 008C,6.7
W01001434,Caerphilly 013F,14.7
W01001435,Blaenau Gwent 008A,7.6
W01000541,Ceredigion 008E,59.2
W01001752,Cardiff 031B,11.2
W01001279,Rhondda Cynon Taf 028F,12.0
W01001546,Monmouthshire 002A,10.4
W01001432,Caerphilly 013D,13.1
W01001433,Caerphilly 013E,11.8
W01001430,Caerphilly 015B,9.7
W01001431,Caerphilly 015C,10.9
W01000504,Powys 021D,34.6
W01000974,Bridgend 006A,8.7
W01001545,Monmouthshire 001A,8.6
W01000845,Swansea 001A,35.2
W01000326,Flintshire 018B,10.7
W01000197,Denbighshire 012C,37.5
W01001438,Blaenau Gwent 004A,7.6
W01001439,Blaenau Gwent 004B,8.1
W01001367,Caerphilly 019B,11.7
W01001543,Monmouthshire 009B,12.6
W01001157,Rhondda Cynon Taf 028A,11.4
W01001540,Torfaen 004E,8.8
W01001541,Torfaen 004F,9.3
W01000582,Pembrokeshire 004A,45.1
W01001038,Bridgend 011C,9.5
W01001039,Bridgend 009E,10.6
W01001757,Cardiff 025C,11.5
W01000368,Wrexham 008A,13.3
W01001900,Neath Port Talbot 020G,44.7
W01000151,Conwy 005C,13.6
