LSOA11CD,LSOA11NM,percent_welsh_speakers
W01000690,Carmarthenshire 019A,43.5
W01000611,Pembrokeshire 004C,18.9
W01000691,Carmarthenshire 019B,37.6
W01001626,Newport 001D,8.7
W01001316,Merthyr Tydfil 005B,10.3
W01000441,Powys 005B,10.9
W01000447,Powys 007C,12.9
W01001360,Caerphilly 002A,10.7
W01001150,Rhondda Cynon Taf 003B,10.4
W01000323,Flintshire 012C,15.3
W01001606,Newport 008A,11.4
W01000114,Gwynedd 009D,73.1
W01000507,Ceredigion 009A,43.6
W01001529,Torfaen 003B,9.6
W01000732,Carmarthenshire 026D,19.4
W01001871,Cardiff 037B,6.3
W01001870,Cardiff 037A,9.5
W01001873,Cardiff 038C,9.5
W01000728,Carmarthenshire 003D,53.5
W01000729,Carmarthenshire 018C,55.2
W01000837,Swansea 004D,17.5
W01000834,Swansea 011D,12.2
W01000836,Swansea 011E,7.5
W01000519,Ceredigion 010A,52.9
W01000598,Pembrokeshire 009C,10.7
W01000599,Pembrokeshire 009D,10.9
W01000092,Gwynedd 001E,18.6
W01000010,Isle of Anglesey 002A,48.7
W01000093,Gwynedd 006B,83.9
W01000013,Isle of Anglesey 005B,57.5
W01000094,Gwynedd 012B,72.0
W01000116,Gwynedd 017D,35.8
W01000012,Isle of Anglesey 006B,80.5
W01000734,Carmarthenshire 026F,22.3
W01001010,Bridgend 012B,10.4
W01001011,Bridgend 012C,7.7
W01001092,The Vale of Glamorgan 007B,10.9
W01001091,The Vale of Glamorgan 010A,11.1
W01001093,The Vale of Glamorgan 013C,10.6
W01001229,Rhondda Cynon Taf 017B,15.5
W01001013,Bridgend 005B,11.3
W01001015,Bridgend 002B,11.3
W01001012,Bridgend 005A,15.8
W01001228,Rhondda Cynon Taf 021D,17.2
W01001090,The Vale of Glamorgan 006E,11.5
W01001018,Bridgend 002D,12.4
W01001413,Caerphilly 017C,9.7
W01000207,Denbighshire 015C,48.3
W01000369,Wrexham 020F,10.5
W01000522,Ceredigion 010B,50.7
W01000286,Flintshire 013E,12.3
W01000206,Denbighshire 013C,37.5
W01000287,Flintshire 001A,22.9
W01000525,Ceredigion 011A,46.5
W01000524,Ceredigion 005B,54.0
W01000285,Flintshire 013D,8.6
W01000523,Ceredigion 001C,52.9
W01000158,Conwy 004D,21.1
W01000588,Pembrokeshire 010B,9.9
W01001535,Torfaen 012D,8.9
W01001534,Torfaen 012C,10.3
W01001537,Torfaen 007E,8.0
W01001358,Caerphilly 006C,9.4
W01001359,Caerphilly 006D,10.0
W01001350,Caerphilly 009C,8.8
W01001351,Caerphilly 005D,9.7
W01000318,Flintshire 016F,15.5
W01000399,Wrexham 013B,17.9
W01000251,Flintshire 013A,11.7
W01001390,Caerphilly 006E,11.0
W01000341,Wrexham 009A,10.8
W01001173,Rhondda Cynon Taf 020B,7.1
W01000544,Ceredigion 007C,41.5
W01001417,Caerphilly 008D,15.0
W01001583,Monmouthshire 007B,8.5
W01001774,Cardiff 018D,13.5
W01001646,Newport 015E,7.6
W01001647,Newport 015F,7.0
W01000143,Conwy 007B,18.1
W01000144,Conwy 007C,16.5
W01000145,Conwy 008B,25.3
W01000246,Denbighshire 010B,19.5
W01000146,Conwy 001B,15.3
W01000147,Conwy 001C,16.9
W01000148,Conwy 015D,63.5
W01000149,Conwy 005A,8.5
W01000244,Denbighshire 014C,49.4
W01001869,Cardiff 038A,10.0
W01001274,Rhondda Cynon Taf 013B,11.0
W01001584,Monmouthshire 008B,11.7
W01000104,Gwynedd 008C,86.8
W01000184,Conwy 005E,10.8
W01000186,Conwy 001E,20.4
W01000185,Conwy 015E,45.6
W01000187,Conwy 002C,25.4
W01000107,Gwynedd 010E,66.8
W01000106,Gwynedd 010D,57.0
W01000105,Gwynedd 010C,80.1
W01000102,Gwynedd 002E,58.1
W01001683,Newport 006D,9.9
W01000118,Gwynedd 007D,75.8
W01001463,Blaenau Gwent 006B,8.4
W01000540,Ceredigion 005E,53.3
W01000971,Neath Port Talbot 004G,33.6
W01000543,Ceredigion 011C,49.4
W01001497,Torfaen 011A,9.1
W01000500,Powys 003C,12.5
W01001926,Conwy 011F,35.8
W01000135,Conwy 006A,22.5
W01000344,Wrexham 007B,9.3
W01001660,Newport 018B,7.2
W01001663,Newport 008C,7.9
W01001662,Newport 018D,7.1
W01001665,Newport 008D,10.2
W01000518,Ceredigion 003C,34.2
W01000835,Swansea 013E,7.3
W01000832,Swansea 011B,6.9
W01001343,Caerphilly 021B,13.7
W01001344,Caerphilly 020C,9.7
W01001345,Caerphilly 021C,11.1
W01001346,Caerphilly 020D,11.6
W01001347,Caerphilly 005C,10.3
W01001138,Rhondda Cynon Taf 005B,8.3
W01001139,Rhondda Cynon Taf 005C,10.2
W01001340,Caerphilly 020A,12.5
W01001341,Caerphilly 020B,11.0
W01001525,Torfaen 003A,8.6
W01000970,Neath Port Talbot 005D,10.2
W01000272,Flintshire 006D,16.9
W01000275,Flintshire 007C,12.2
W01000274,Flintshire 007B,7.5
W01001148,Rhondda Cynon Taf 002A,12.2
W01001187,Rhondda Cynon Taf 001B,17.9
W01001149,Rhondda Cynon Taf 003A,10.9
W01001030,Bridgend 019B,7.4
W01001031,Bridgend 018A,8.1
W01001104,The Vale of Glamorgan 004E,8.4
W01001185,Rhondda Cynon Taf 022A,12.5
W01001755,Cardiff 025A,15.3
W01001240,Rhondda Cynon Taf 026C,13.1
W01001032,Bridgend 018B,8.7
W01001033,Bridgend 003E,7.1
W01001034,Bridgend 003F,6.3
W01001035,Bridgend 014E,6.8
W01001107,The Vale of Glamorgan 011B,6.9
W01001036,Bridgend 017D,12.7
W01001243,Rhondda Cynon Taf 030E,12.3
W01001186,Rhondda Cynon Taf 001A,17.1
W01001037,Bridgend 013B,9.8
W01001106,The Vale of Glamorgan 011A,10.0
W01000004,Isle of Anglesey 001B,54.3
W01001089,The Vale of Glamorgan 006D,8.8
W01001181,Rhondda Cynon Taf 015B,13.2
W01001100,The Vale of Glamorgan 010C,11.0
W01001182,Rhondda Cynon Taf 021A,12.0
W01001103,The Vale of Glamorgan 010D,11.3
W01001183,Rhondda Cynon Taf 021B,11.2
W01001102,The Vale of Glamorgan 013F,11.8
W01001184,Rhondda Cynon Taf 026A,11.6
W01001105,The Vale of Glamorgan 001A,14.8
W01001180,Rhondda Cynon Taf 015A,10.2
W01001101,The Vale of Glamorgan 013E,11.7
W01001319,Merthyr Tydfil 007B,13.8
W01000689,Carmarthenshire 003C,53.8
W01001178,Rhondda Cynon Taf 023A,9.2
W01000685,Carmarthenshire 001A,56.8
W01001812,Cardiff 017C,6.6
W01001001,Bridgend 010C,11.7
W01001762,Cardiff 046D,9.5
W01001021,Bridgend 014A,7.7
W01000603,Pembrokeshire 013D,9.5
W01001485,Torfaen 002D,12.8
W01001407,Caerphilly 016A,8.7
W01001486,Torfaen 002E,9.5
W01001862,Cardiff 042D,7.0
W01001464,Blaenau Gwent 009A,5.9
W01001273,Rhondda Cynon Taf 010E,15.9
W01001503,Torfaen 009B,10.9
W01001259,Rhondda Cynon Taf 018E,8.9
W01000075,Gwynedd 002C,45.3
W01000736,Swansea 028A,8.4
W01000651,Carmarthenshire 020A,28.3
W01000650,Carmarthenshire 002B,46.7
W01001494,Torfaen 008B,12.2
W01001046,Bridgend 018C,8.9
W01000688,Carmarthenshire 003B,55.1
W01001027,Bridgend 017C,9.5
W01000684,Carmarthenshire 005D,51.6
W01000655,Carmarthenshire 020C,28.1
W01000654,Carmarthenshire 023B,24.7
W01000657,Carmarthenshire 010B,59.4
W01001500,Torfaen 011D,9.3
W01000070,Gwynedd 012A,74.3
W01001256,Rhondda Cynon Taf 019C,14.0
W01000979,Bridgend 015A,8.8
W01001651,Newport 002A,9.2
W01001493,Torfaen 008A,9.1
W01001821,Cardiff 024A,9.9
W01000929,Neath Port Talbot 020D,50.7
W01001624,Newport 001B,13.4
W01001331,Caerphilly 018B,16.1
W01001338,Caerphilly 004C,9.3
W01001333,Caerphilly 018D,15.9
W01001330,Caerphilly 018A,15.4
W01001335,Caerphilly 005B,11.5
W01001332,Caerphilly 018C,15.8
W01001337,Caerphilly 004B,11.1
W01001334,Caerphilly 005A,10.5
W01001339,Caerphilly 004D,9.8
W01001006,Bridgend 009C,11.6
W01001861,Cardiff 034D,22.2
W01000329,Flintshire 015D,7.8
W01001846,Cardiff 006C,13.9
W01000585,Pembrokeshire 007B,18.0
W01001467,Blaenau Gwent 005D,8.4
W01001526,Torfaen 010B,10.6
W01000977,Bridgend 003B,7.3
W01000637,Carmarthenshire 007A,34.1
W01001675,Newport 007A,12.1
W01001674,Newport 009E,9.2
W01001676,Newport 007B,9.0
W01001677,Newport 007C,8.9
W01001672,Newport 009C,11.1
W01000428,Powys 005A,9.5
W01001777,Cardiff 001A,9.1
W01000844,Swansea 005F,14.7
W01001418,Caerphilly 008E,11.0
W01000294,Flintshire 005C,11.5
W01000215,Denbighshire 002C,16.5
W01000214,Denbighshire 002B,14.2
W01000295,Flintshire 005D,12.0
W01000217,Denbighshire 008C,19.3
W01000296,Flintshire 003C,10.6
W01001428,Caerphilly 001E,9.4
W01000212,Denbighshire 003A,18.7
W01000703,Carmarthenshire 022A,25.5
W01000702,Carmarthenshire 001D,61.6
W01000784,Swansea 007A,14.8
W01000705,Carmarthenshire 022C,24.6
W01001480,Blaenau Gwent 003E,8.4
W01001401,Caerphilly 011A,9.5
W01001400,Caerphilly 019F,12.0
W01000782,Swansea 023C,7.1
W01000928,Neath Port Talbot 020C,60.0
W01001458,Blaenau Gwent 004E,6.9
W01001459,Blaenau Gwent 007D,8.9
W01000778,Swansea 012C,13.2
W01000779,Swansea 012D,12.9
W01001007,Bridgend 009D,11.5
W01001120,The Vale of Glamorgan 014D,10.2
W01001123,The Vale of Glamorgan 005B,10.8
W01000002,Isle of Anglesey 007B,50.2
W01000636,Carmarthenshire 025B,31.1
W01000771,Swansea 020D,8.3
W01000947,Neath Port Talbot 004C,28.2
W01000946,Neath Port Talbot 004B,34.3
W01001512,Torfaen 005C,7.1
W01001594,Monmouthshire 007E,10.8
W01001514,Torfaen 006A,8.3
W01001515,Torfaen 006B,10.9
W01001596,Monmouthshire 006E,9.0
W01001595,Monmouthshire 007F,8.5
W01000945,Neath Port Talbot 014E,16.0
W01001593,Monmouthshire 008E,10.5
W01000944,Neath Port Talbot 002B,19.1
W01001648,Newport 015G,9.9
W01001649,Newport 004D,9.0
W01000531,Ceredigion 010C,54.7
W01000533,Ceredigion 010D,63.5
W01001589,Monmouthshire 010E,9.9
W01001507,Torfaen 008D,11.2
W01000560,Pembrokeshire 001C,62.5
W01000563,Pembrokeshire 011B,12.4
W01000562,Pembrokeshire 002A,49.7
W01000565,Pembrokeshire 002B,34.3
W01001689,Newport 019D,9.7
W01000113,Gwynedd 009C,78.5
W01001383,Caerphilly 010D,8.4
W01001302,Merthyr Tydfil 006B,8.6
W01001384,Caerphilly 002C,6.6
W01001305,Merthyr Tydfil 003C,8.8
W01001385,Caerphilly 002D,7.0
W01001304,Merthyr Tydfil 006D,12.0
W01001386,Caerphilly 002E,8.3
W01001307,Merthyr Tydfil 004C,7.2
W01001382,Caerphilly 010C,9.1
W01001303,Merthyr Tydfil 006C,9.1
W01001527,Torfaen 010C,6.4
W01000975,Bridgend 004A,7.8
W01000963,Neath Port Talbot 016E,7.9
W01000962,Neath Port Talbot 016D,8.6
W01000965,Neath Port Talbot 002C,22.9
W01000964,Neath Port Talbot 016F,7.8
W01000967,Neath Port Talbot 019C,6.6
W01000966,Neath Port Talbot 018E,6.7
W01001220,Rhondda Cynon Taf 018D,9.9
W01001223,Rhondda Cynon Taf 031C,12.2
W01001225,Rhondda Cynon Taf 031E,15.6
W01001222,Rhondda Cynon Taf 001E,9.8
W01001224,Rhondda Cynon Taf 031D,20.0
W01001221,Rhondda Cynon Taf 001D,11.2
W01000241,Denbighshire 004F,15.8
W01001569,Monmouthshire 003E,8.3
W01001568,Monmouthshire 005C,9.5
W01001122,The Vale of Glamorgan 014F,8.1
W01001125,The Vale of Glamorgan 005D,11.2
W01001908,Monmouthshire 010G,8.9
W01001124,The Vale of Glamorgan 005C,10.2
W01001127,The Vale of Glamorgan 001B,10.8
W01001126,The Vale of Glamorgan 005E,10.9
W01000253,Flintshire 003A,12.3
W01001314,Merthyr Tydfil 005A,9.5
W01000681,Carmarthenshire 011B,56.9
W01001607,Newport 015A,9.9
W01000112,Gwynedd 008D,70.7
W01000503,Powys 020C,17.1
W01001669,Newport 009A,9.8
W01000825,Swansea 031C,9.4
W01000139,Conwy 007A,23.9
W01001829,Cardiff 033A,8.8
W01000003,Isle of Anglesey 001A,64.5
W01000480,Powys 008A,12.0
W01001791,Cardiff 005A,12.3
W01001710,Cardiff 040B,19.7
W01001713,Cardiff 040E,19.1
W01000424,Wrexham 012E,10.5
W01001732,Cardiff 019A,10.9
W01000805,Swansea 028D,12.0
W01000883,Neath Port Talbot 016A,8.0
W01001735,Cardiff 019D,12.0
W01000884,Neath Port Talbot 017A,9.6
W01001734,Cardiff 019C,14.2
W01000885,Neath Port Talbot 017B,7.0
W01000804,Swansea 028C,12.1
W01000807,Swansea 003B,10.8
W01001737,Cardiff 039A,8.2
W01000802,Swansea 007D,15.0
W01001711,Cardiff 040C,10.0
W01001790,Cardiff 023F,10.2
W01000698,Carmarthenshire 015B,68.6
W01000619,Pembrokeshire 016B,11.6
W01000618,Pembrokeshire 003D,24.4
W01000699,Carmarthenshire 015C,54.4
W01001765,Cardiff 044B,10.0
W01001764,Cardiff 044A,8.8
W01001767,Cardiff 044D,11.7
W01001766,Cardiff 044C,12.9
W01001406,Caerphilly 001D,7.8
W01000787,Swansea 016C,9.3
W01001404,Caerphilly 011D,11.0
W01001484,Torfaen 002C,10.4
W01000446,Powys 015D,9.0
W01001427,Caerphilly 024F,15.0
W01001426,Caerphilly 024E,14.1
W01001424,Caerphilly 024C,14.5
W01001365,Caerphilly 012C,14.0
W01001155,Rhondda Cynon Taf 002D,10.0
W01000706,Carmarthenshire 025C,25.7
W01000324,Flintshire 012D,19.0
W01000758,Swansea 017D,9.2
W01000196,Denbighshire 012B,38.3
W01001468,Blaenau Gwent 005E,8.0
W01000509,Ceredigion 009C,58.8
W01000584,Pembrokeshire 014C,11.4
W01001487,Torfaen 001A,12.1
W01000997,Bridgend 012A,7.4
W01000916,Neath Port Talbot 010E,11.8
W01001631,Newport 017C,8.1
W01001630,Newport 017B,6.6
W01001633,Newport 019A,11.0
W01001219,Rhondda Cynon Taf 018C,7.3
W01001298,Merthyr Tydfil 002D,6.6
W01001218,Rhondda Cynon Taf 018B,11.0
W01001299,Merthyr Tydfil 008A,5.4
W01000744,Swansea 016B,7.0
W01000747,Swansea 024A,10.4
W01000950,Neath Port Talbot 018B,10.8
W01000953,Neath Port Talbot 005B,10.6
W01000745,Swansea 025B,6.9
W01000951,Neath Port Talbot 018C,7.8
W01001572,Monmouthshire 011A,11.3
W01001575,Monmouthshire 005D,8.8
W01001574,Monmouthshire 011C,11.0
W01001577,Monmouthshire 004E,8.0
W01001573,Monmouthshire 011B,11.4
W01000819,Swansea 009C,12.5
W01001788,Cardiff 023D,7.0
W01001709,Cardiff 040A,16.5
W01001789,Cardiff 023E,14.3
W01001697,Cardiff 036D,9.8
W01001616,Newport 005C,8.5
W01000479,Powys 009B,14.4
W01000478,Powys 009A,15.3
W01001696,Cardiff 036C,8.6
W01001617,Newport 003A,6.7
W01001758,Cardiff 025D,12.1
W01000868,Swansea 024B,11.3
W01000869,Swansea 024C,10.2
W01000839,Swansea 030C,9.3
W01000838,Swansea 004E,12.5
W01000366,Wrexham 014A,11.0
W01001554,Monmouthshire 004C,5.3
W01001557,Monmouthshire 001C,10.4
W01001556,Monmouthshire 006B,11.3
W01000388,Wrexham 008E,13.0
W01000309,Flintshire 019C,15.7
W01000389,Wrexham 017D,13.5
W01000308,Flintshire 020C,12.2
W01000380,Wrexham 004D,13.6
W01000301,Flintshire 006E,20.7
W01001555,Monmouthshire 006A,11.9
W01001745,Cardiff 043D,11.1
W01001744,Cardiff 043C,8.0
W01001742,Cardiff 043A,8.2
W01001315,Merthyr Tydfil 004D,8.7
W01001280,Rhondda Cynon Taf 017E,9.4
W01001201,Rhondda Cynon Taf 014B,8.9
W01001200,Rhondda Cynon Taf 014A,9.4
W01000351,Wrexham 005A,10.7
W01000350,Wrexham 011B,9.2
W01000353,Wrexham 010B,7.4
W01000352,Wrexham 010A,9.5
W01000355,Wrexham 017B,10.7
W01000354,Wrexham 017A,13.1
W01000356,Wrexham 017C,9.8
W01000069,Gwynedd 013A,47.4
W01000359,Wrexham 019C,11.8
W01000842,Swansea 005D,18.3
W01001023,Bridgend 014C,7.3
W01000440,Powys 020A,12.7
W01001498,Torfaen 011B,9.6
W01000023,Isle of Anglesey 007D,66.9
W01000022,Isle of Anglesey 004A,64.4
W01000025,Isle of Anglesey 009B,75.8
W01000024,Isle of Anglesey 007E,34.6
W01000027,Isle of Anglesey 009C,65.1
W01000026,Isle of Anglesey 005D,48.4
W01000179,Conwy 010F,20.4
W01000178,Conwy 010E,21.8
W01000021,Isle of Anglesey 002C,58.9
W01000020,Isle of Anglesey 002B,64.7
W01000233,Denbighshire 017C,14.9
W01001864,Cardiff 022B,6.8
W01001501,Torfaen 009A,10.0
W01001771,Cardiff 018C,14.4
W01000828,Swansea 018B,12.2
W01000506,Ceredigion 005A,59.9
W01000987,Bridgend 007B,9.6
W01000906,Neath Port Talbot 007A,12.6
W01000986,Bridgend 007A,13.3
W01000907,Neath Port Talbot 007B,11.9
W01000985,Bridgend 015C,10.6
W01000904,Neath Port Talbot 006C,13.2
W01000984,Bridgend 016D,10.5
W01001492,Torfaen 012A,10.5
W01001815,Cardiff 008D,7.6
W01001082,The Vale of Glamorgan 002A,11.8
W01000508,Ceredigion 009B,45.2
W01000905,Neath Port Talbot 006D,11.5
W01000983,Bridgend 015B,9.4
W01000902,Neath Port Talbot 006A,12.7
W01000982,Bridgend 016C,8.4
W01000903,Neath Port Talbot 006B,15.0
W01000900,Neath Port Talbot 014C,14.7
W01000981,Bridgend 016B,10.9
W01000466,Powys 010C,15.7
W01000340,Flintshire 002C,20.7
W01000076,Gwynedd 001B,34.8
W01000049,Gwynedd 016B,39.1
W01000336,Flintshire 009E,11.7
W01000041,Isle of Anglesey 006D,80.7
W01000048,Gwynedd 016A,43.5
W01000043,Isle of Anglesey 004E,58.9
W01000040,Isle of Anglesey 004D,33.8
W01000044,Isle of Anglesey 004F,50.2
W01000042,Isle of Anglesey 008D,59.2
W01000337,Flintshire 009F,9.4
W01000334,Flintshire 009C,8.7
W01000009,Isle of Anglesey 007C,71.2
