"","","","","","All ages ","","","All ages "
"","","","","","Aged 0 to 15 ","Aged 16 to 64 ","Aged 65 and over ","."
"","","","","Llansamlet 7 ",261,956,342,1559
"","","","","Llansamlet 8 ",379,1086,229,1694
"","","","Swansea 010 ","",1377,4472,1174,7023
"","","","Swansea 010 ","Llansamlet 1 ",446,1507,223,2176
"","","","","Llansamlet 4 ",219,855,346,1420
"","","","","Llansamlet 5 ",212,766,433,1411
"","","","","Llansamlet 6 ",500,1344,172,2016
"","","","Swansea 014 ","",1305,4674,1456,7435
"","","","Swansea 014 ","Bonymaen 1 ",413,1169,261,1843
"","","","","Bonymaen 2 ",347,1650,224,2221
"","","","","Bonymaen 3 ",174,895,606,1675
"","","","","Bonymaen 4 ",371,960,365,1696
"","","","Swansea 021 ","",1336,5507,1166,8009
"","","","Swansea 021 ","St. Thomas 1 ",438,1384,243,2065
"","","","","St. Thomas 2 ",378,2029,419,2826
"","","","","St. Thomas 3 ",264,1091,257,1612
"","","","","St. Thomas 4 ",256,1003,247,1506
"","","Swansea U004 ","","",4716,17446,4989,27151
"","","Swansea U004 ","Swansea 009 ","",1516,5391,2191,9098
"","","","Swansea 009 ","Mynyddbach 1 ",451,1239,261,1951
"","","","","Mynyddbach 2 ",267,905,339,1511
"","","","","Mynyddbach 3 ",171,825,498,1494
"","","","","Mynyddbach 4 ",213,883,336,1432
"","","","","Mynyddbach 5 ",237,881,333,1451
"","","","","Mynyddbach 6 ",177,658,424,1259
"","","","Swansea 015 ","",1422,5096,1374,7892
"","","","Swansea 015 ","Cwmbwrla 1 ",279,957,247,1483
"","","","","Cwmbwrla 2 ",297,1110,244,1651
"","","","","Cwmbwrla 3 ",282,1063,283,1628
"","","","","Cwmbwrla 4 ",292,984,256,1532
"","","","","Cwmbwrla 5 ",272,982,344,1598
"","","","Swansea 016 ","",1778,6959,1424,10161
"","","","Swansea 016 ","Castle 1 ",331,1198,289,1818
"","","","","Castle 3 ",292,1185,186,1663
"","","","","Landore 1 ",240,966,216,1422
"","","","","Landore 2 ",234,990,214,1438
"","","","","Landore 3 ",286,1002,219,1507
"","","","","Landore 4 ",395,1618,300,2313
"","","Swansea U005 ","","",7012,20521,5840,33373
"","","Swansea U005 ","Swansea 011 ","",2500,5959,1059,9518
"","","","Swansea 011 ","Penderry 1 ",526,1188,140,1854
"","","","","Penderry 3 ",383,1043,235,1661
"","","","","Penderry 4 ",529,1099,227,1855
"","","","","Penderry 5 ",354,954,268,1576
"","","","","Penderry 7 ",708,1675,189,2572
"","","","Swansea 013 ","",1855,5306,1317,8478
"","","","Swansea 013 ","Cockett 6 ",339,1123,259,1721
"","","","","Cockett 7 ",340,1079,235,1654
"","","","","Cockett 8 ",376,1073,248,1697
"","","","","Penderry 2 ",473,1168,266,1907
"","","","","Penderry 6 ",327,863,309,1499
"","","","Swansea 017 ","",1333,4477,1451,7261
"","","","Swansea 017 ","Cockett 1 ",431,1343,384,2158
"","","","","Cockett 2 ",300,1055,258,1613
"","","","","Cockett 3 ",225,827,456,1508
"","","","","Cockett 4 ",377,1252,353,1982
"","","","Swansea 022 ","",1324,4779,2013,8116
"","","","Swansea 022 ","Sketty 1 ",252,908,302,1462
"","","","","Sketty 2 ",321,997,279,1597
"","","","","Sketty 3 ",201,793,480,1474
"","","","","Sketty 4 ",296,1055,415,1766
"","","","","Sketty 5 ",254,1026,537,1817
"","","Swansea U006 ","","",4474,16693,7750,28917
"","","Swansea U006 ","Swansea 012 ","",1109,4013,1568,6690
"","","","Swansea 012 ","Cockett 5 ",251,790,535,1576
"","","","","Gowerton 1 ",264,1038,471,1773
"","","","","Gowerton 2 ",332,1237,305,1874
"","","","","Gowerton 3 ",262,948,257,1467
"","","","Swansea 018 ","",769,2930,1384,5083
"","","","Swansea 018 ","Fairwood 1 ",257,850,386,1493
"","","","","Penclawdd 1 ",228,984,551,1763
"","","","","Penclawdd 2 ",284,1096,447,1827
"","","","Swansea 020 ","",932,3208,1432,5572
"","","","Swansea 020 ","Dunvant 1 ",216,819,336,1371
"","","","","Dunvant 2 ",207,789,374,1370
"","","","","Dunvant 3 ",261,887,373,1521
"","","","","Fairwood 2 ",248,713,349,1310
"","","","Swansea 023 ","",666,3197,1305,5168
"","","","Swansea 023 ","Killay North 2 ",254,914,541,1709
"","","","","Killay South 1 ",167,596,309,1072
"","","","","Killay 3 ",245,1687,455,2387
"","","","Swansea 030 ","",998,3345,2061,6404
"","","","Swansea 030 ","Gower (Swansea) 1 ",274,979,500,1753
"","","","","Gower (Swansea) 2 ",264,980,636,1880
"","","","","Pennard 1 ",172,556,337,1065
"","","","","Pennard 2 ",288,830,588,1706
"","","Swansea U007 ","","",4965,29637,4774,39376
"","","Swansea U007 ","Swansea 019 ","",2469,5604,1031,9104
"","","","Swansea 019 ","Townhill 1 ",558,1112,118,1788
"","","","","Townhill 2 ",456,992,205,1653
"","","","","Townhill 3 ",497,1064,138,1699
"","","","","Townhill 4 ",317,840,209,1366
"","","","","Townhill 5 ",327,768,163,1258
"","","","","Townhill 6 ",314,828,198,1340
"","","","Swansea 024 ","",1105,7405,1433,9943
"","","","Swansea 024 ","Castle 6 ",218,1703,178,2099
"","","","","Uplands 1 ",178,814,258,1250
"","","","","Uplands 2 ",190,1090,279,1559
"","","","","Uplands 3 ",155,1176,199,1530
"","","","","Uplands 5 ",224,868,307,1399
"","","","","Uplands 7 ",140,1754,212,2106
"","","","Swansea 025 ","",760,8142,1222,10124
"","","","Swansea 025 ","Castle 4 ",252,2070,166,2488
"","","","","Castle 5 ",186,1329,240,1755
"","","","","Castle 7 East ",41,1225,165,1431
"","","","","Castle 2 North ",80,1501,288,1869
"","","","","Castle 7 West ",89,786,160,1035
"","","","","Castle 2 South ",112,1231,203,1546
"","","","Swansea 026 ","",631,8486,1088,10205
"","","","Swansea 026 ","Castle 8 ",213,1278,493,1984
"","","","","Uplands 4 ",109,1656,136,1901
"","","","","Uplands 6 ",79,1764,152,1995
"","","","","Uplands 8 ",106,1927,176,2209
"","","","","Uplands 9 ",124,1861,131,2116
"","","Swansea U008 ","","",3803,14619,7838,26260
"","","Swansea U008 ","Swansea 027 ","",791,4083,1586,6460
"","","","Swansea 027 ","Sketty 6 ",231,1112,283,1626
"","","","","Sketty 7 ",184,697,530,1411
"","","","","Sketty 8 ",270,789,471,1530
"","","","","Sketty 9 ",106,1485,302,1893
"","","","Swansea 028 ","",869,2971,1964,5804
"","","","Swansea 028 ","Bishopston 1 ",270,908,531,1709
"","","","","Bishopston 2 ",173,745,521,1439
"","","","","Mayals 1 ",228,668,570,1466
"","","","","Mayals 2 ",198,650,342,1190
"","","","Swansea 029 ","",1105,3571,1906,6582
"","","","Swansea 029 ","West Cross 1 ",280,932,527,1739
"","","","","West Cross 2 ",221,790,562,1573
"","","","","West Cross 3 ",254,809,420,1483
"","","","","West Cross 4 ",350,1040,397,1787
"","","","Swansea 031 ","",1038,3994,2382,7414
"","","","Swansea 031 ","Newton (Swansea) 1 ",292,822,626,1740
"","","","","Newton (Swansea) 2 ",215,800,573,1588
"","","","","Oystermouth 1 ",175,877,383,1435
"","","","","Oystermouth 2 ",169,737,425,1331
"","","","","Oystermouth 3 ",187,758,375,1320
"","Neath Port Talbot ","","","",24952,88424,29530,142906
"","Neath Port Talbot ","Neath Port Talbot U002 ","","",4746,18051,7069,29866
"","","Neath Port Talbot U002 ","Neath Port Talbot 003 ","",883,3214,1246,5343
"","","","Neath Port Talbot 003 ","Blaengwrach ",342,1258,422,2022
"","","","","Glynneath 1 ",288,977,312,1577
"","","","","Glynneath 2 ",253,979,512,1744
"","","","Neath Port Talbot 005 ","",1273,4207,1317,6797
"","","","Neath Port Talbot 005 ","Aberdulais ",548,1461,379,2388
"","","","","Resolven 1 ",295,1115,349,1759
"","","","","Resolven 2 ",232,862,305,1399
"","","","","Tonna 2 ",198,769,284,1251
"","","","Neath Port Talbot 006 ","",992,4098,1760,6850
"","","","Neath Port Talbot 006 ","Bryn-coch North 1 ",116,555,344,1015
"","","","","Bryn-coch North 2 ",136,610,338,1084
"","","","","Bryn-coch South 1 ",265,941,360,1566
"","","","","Bryn-coch South 2 ",291,1019,250,1560
"","","","","Cadoxton ",184,973,468,1625
"","","","Neath Port Talbot 007 ","",888,3519,1441,5848
"","","","Neath Port Talbot 007 ","Bryn-coch South 3 ",126,556,364,1046
"","","","","Bryn-coch South 4 ",299,1099,381,1779
"","","","","Dyffryn 1 ",261,1017,310,1588
"","","","","Dyffryn 2 ",202,847,386,1435
"","","","Neath Port Talbot 009 ","",710,3013,1305,5028
"","","","Neath Port Talbot 009 ","Cimla 1 ",195,652,349,1196
"","","","","Cimla 2 ",176,808,410,1394
"","","","","Cimla 3 ",185,735,270,1190
"","","","","Tonna 1 ",154,818,276,1248
"","","Neath Port Talbot U003 ","","",5792,20246,5890,31928
"","","Neath Port Talbot U003 ","Neath Port Talbot 008 ","",1039,4105,1574,6718
"","","","Neath Port Talbot 008 ","Neath East 1 ",208,794,222,1224
"","","","","Neath East 2 ",257,1047,332,1636
"","","","","Neath North 1 ",152,722,445,1319
"","","","","Neath North 2 ",143,714,345,1202
"","","","","Neath North 3 ",279,828,230,1337
"","","","Neath Port Talbot 010 ","",1882,6989,1797,10668
"","","","Neath Port Talbot 010 ","Coedffranc Central 1 ",155,695,253,1103
"","","","","Coedffranc Central 2 ",171,722,238,1131
"","","","","Coedffranc Central 3 ",338,1029,292,1659
"","","","","Coedffranc North 1 ",241,789,240,1270
"","","","","Coedffranc North 2 ",203,793,246,1242
"","","","","Coedffranc West ",774,2961,528,4263
"","","","Neath Port Talbot 012 ","",1360,4105,1075,6540
"","","","Neath Port Talbot 012 ","Neath East 3 ",313,975,191,1479
"","","","","Neath South 1 ",354,998,223,1575
"","","","","Neath South 2 ",423,1196,305,1924
"","","","","Neath South 3 ",270,936,356,1562
"","","","Neath Port Talbot 013 ","",1511,5047,1444,8002
"","","","Neath Port Talbot 013 ","Briton Ferry East 1 ",246,828,359,1433
"","","","","Briton Ferry East 2 ",248,926,251,1425
"","","","","Briton Ferry West 1 ",356,1064,201,1621
"","","","","Briton Ferry West 2 ",214,835,288,1337
"","","","","Neath East 4 ",447,1394,345,2186
"","","Neath Port Talbot U004 ","","",4744,16265,5408,26417
"","","Neath Port Talbot U004 ","Neath Port Talbot 015 ","",1057,3978,1690,6725
"","","","Neath Port Talbot 015 ","Baglan 1 ",254,1065,437,1756
"","","","","Baglan 2 ",195,910,439,1544
"","","","","Baglan 3 ",276,917,322,1515
"","","","","Baglan 4 ",332,1086,492,1910
"","","","Neath Port Talbot 016 ","",1880,6051,1995,9926
"","","","Neath Port Talbot 016 ","Aberavon 1 ",142,796,442,1380
"","","","","Sandfields East 2 ",334,1021,299,1654
"","","","","Sandfields West 1 ",320,960,333,1613
"","","","","Sandfields West 2 ",396,1020,211,1627
"","","","","Sandfields West 3 ",399,1165,360,1924
"","","","","Sandfields West 4 ",289,1089,350,1728
"","","","Neath Port Talbot 017 ","",1807,6236,1723,9766
"","","","Neath Port Talbot 017 ","Aberavon 2 ",318,793,187,1298
"","","","","Aberavon 3 ",248,940,253,1441
"","","","","Aberavon 4 ",369,1118,222,1709
"","","","","Sandfields East 1 ",256,1054,391,1701
"","","","","Sandfields East 3 ",317,1164,366,1847
"","","","","Sandfields East 4 ",299,1167,304,1770
"","","Neath Port Talbot U005 ","","",4738,16766,5365,26869
"","","Neath Port Talbot U005 ","Neath Port Talbot 011 ","",997,3130,1047,5174
"","","","Neath Port Talbot 011 ","Cymmer (Neath Port Talbot) 1 ",212,761,260,1233
"","","","","Cymmer (Neath Port Talbot) 2 ",342,970,291,1603
"","","","","Glyncorrwg ",193,618,223,1034
"","","","","Gwynfi ",250,781,273,1304
"","","","Neath Port Talbot 014 ","",1326,4879,1649,7854
"","","","Neath Port Talbot 014 ","Bryn and Cwmavon 1 ",260,959,329,1548
"","","","","Bryn and Cwmavon 2 ",340,1163,394,1897
"","","","","Bryn and Cwmavon 3 ",266,977,355,1598
"","","","","Bryn and Cwmavon 4 ",292,1064,334,1690
"","","","","Pelenna ",168,716,237,1121
"","","","Neath Port Talbot 018 ","",1158,4551,1400,7109
"","","","Neath Port Talbot 018 ","Port Talbot 1 ",201,868,288,1357
"","","","","Port Talbot 2 ",232,1017,275,1524
"","","","","Port Talbot 3 ",247,1079,266,1592
"","","","","Port Talbot 4 ",230,742,206,1178
"","","","","Tai-bach 1 ",248,845,365,1458
"","","","Neath Port Talbot 019 ","",1257,4206,1269,6732
"","","","Neath Port Talbot 019 ","Margam 1 ",167,671,264,1102
"","","","","Margam 2 ",412,1321,325,2058
"","","","","Tai-bach 2 ",272,978,272,1522
"","","","","Tai-bach 3 ",406,1236,408,2050
"","","Neath Port Talbot U006 ","","",4932,17096,5798,27826
"","","Neath Port Talbot U006 ","Neath Port Talbot 002 ","",942,3105,1164,5211
"","","","Neath Port Talbot 002 ","Crynant ",316,1184,426,1926
"","","","","Onllwyn ",246,672,279,1197
"","","","","Seven Sisters ",380,1249,459,2088
"","","","Neath Port Talbot 004 ","",2108,7456,2614,12178
"","","","Neath Port Talbot 004 ","Allt-wen ",485,1725,460,2670
"","","","","Pontardawe 1 ",268,972,374,1614
"","","","","Pontardawe 2 ",462,1299,373,2134
"","","","","Pontardawe 3 ",272,1194,419,1885
"","","","","Rhos 1 ",207,740,301,1248
"","","","","Rhos 2 ",147,624,428,1199
"","","","","Trebanos ",267,902,259,1428
"","","","Neath Port Talbot 020 ","",1882,6535,2020,10437
"","","","Neath Port Talbot 020 ","Cwmllynfell ",193,731,247,1171
"","","","","Godre'r graig ",479,1319,302,2100
"","","","","Gwaun-Cae-Gurwen 1 ",278,991,357,1626
"","","","","Gwaun-Cae-Gurwen 2 ",202,797,270,1269
"","","","","Lower Brynamman ",246,840,272,1358
"","","","","Ystalyfera 2 ",230,877,290,1397
"","","","","Ystalyfera 1 ",254,980,282,1516
"","Bridgend ","","","",26109,89388,29379,144876
"","Bridgend ","Bridgend U001 ","","",6957,22379,7002,36338
"","","Bridgend U001 ","Bridgend 001 ","",1503,4236,1257,6996
"","","","Bridgend 001 ","Caerau (Bridgend) 1 ",318,682,154,1154
"","","","","Caerau (Bridgend) 2 ",297,943,249,1489
"","","","","Caerau (Bridgend) 3 ",310,921,269,1500
"","","","","Caerau (Bridgend) 4 ",316,852,264,1432
"","","","","Caerau (Bridgend) 5 ",262,838,321,1421
"","","","Bridgend 002 ","",1300,4620,1432,7352
"","","","Bridgend 002 ","Maesteg East 1 ",299,1022,367,1688
"","","","","Maesteg East 2 ",275,855,279,1409
"","","","","Maesteg West 1 ",262,925,305,1492
"","","","","Maesteg West 2 ",206,885,247,1338
"","","","","Maesteg West 4 ",258,933,234,1425
"","","","Bridgend 003 ","",1548,5060,1524,8132
"","","","Bridgend 003 ","Blackmill 1 ",255,692,193,1140
"","","","","Blackmill 2 ",271,881,258,1410
"","","","","Nant-y-moel 1 ",192,728,209,1129
"","","","","Nant-y-moel 2 ",239,783,222,1244
"","","","","Ogmore Vale 1 ",351,1063,349,1763
"","","","","Ogmore Vale 2 ",240,913,293,1446
"","","","Bridgend 004 ","",1625,4878,1265,7768
"","","","Bridgend 004 ","Bettws (Bridgend) ",551,1412,336,2299
"","","","","Blaengarw ",359,1116,308,1783
"","","","","Llangeinor ",254,777,235,1266
"","","","","Pontycymmer 1 ",227,859,201,1287
"","","","","Pontycymmer 2 ",234,714,185,1133
"","","","Bridgend 005 ","",981,3585,1524,6090
"","","","Bridgend 005 ","Llangynwyd 1 ",263,1010,276,1549
"","","","","Llangynwyd 2 ",239,834,394,1467
"","","","","Maesteg East 3 ",225,837,536,1598
"","","","","Maesteg West 3 ",254,904,318,1476
"","","Bridgend U002 ","","",5795,20872,5921,32588
"","","Bridgend U002 ","Bridgend 006 ","",1104,4023,1004,6131
"","","","Bridgend 006 ","Aberkenfig ",423,1646,418,2487
"","","","","Ynysawdre 1 ",305,1075,262,1642
"","","","","Ynysawdre 2 ",376,1302,324,2002
"","","","Bridgend 007 ","",1256,4143,1089,6488
"","","","Bridgend 007 ","Bryncethin ",279,1012,183,1474
"","","","","Bryncoch ",591,1681,361,2633
"","","","","Sarn 1 ",255,730,225,1210
"","","","","Sarn 2 ",131,720,320,1171
"","","","Bridgend 009 ","",1794,6141,2316,10251
"","","","Bridgend 009 ","Felindre 1 ",198,660,242,1100
"","","","","Felindre 2 ",252,1077,422,1751
"","","","","Hendre (Bridgend) 1 ",379,1342,611,2332
"","","","","Hendre (Bridgend) 2 ",429,1141,326,1896
"","","","","Penprysg 1 ",280,1023,343,1646
"","","","","Penprysg 2 ",256,898,372,1526
"","","","Bridgend 011 ","",1641,6565,1512,9718
"","","","Bridgend 011 ","Coity ",881,3899,405,5185
"","","","","Litchard ",360,1356,649,2365
"","","","","Pendre ",400,1310,458,2168
"","","Bridgend U003 ","","",7925,27214,8175,43314
"","","Bridgend U003 ","Bridgend 012 ","",1134,3807,1323,6264
"","","","Bridgend 012 ","Cefn Glas ",255,937,459,1651
"","","","","Llangewydd and Brynhyfryd 1 ",260,785,215,1260
"","","","","Llangewydd and Brynhyfryd 2 ",245,824,249,1318
"","","","","Newcastle 1 ",374,1261,400,2035
"","","","Bridgend 013 ","",841,3220,1449,5510
"","","","Bridgend 013 ","Bryntirion Laleston and Merthyr Mawr 2 ",194,813,384,1391
"","","","","Oldcastle 3 ",278,962,447,1687
"","","","","Pen-y-fai ",369,1445,618,2432
"","","","Bridgend 014 ","",1377,5419,1619,8415
"","","","Bridgend 014 ","Morfa 1 ",250,1073,277,1600
"","","","","Morfa 2 ",328,813,304,1445
"","","","","Morfa 3 ",228,1084,362,1674
"","","","","Newcastle 3 ",241,1191,462,1894
"","","","","Oldcastle 1 ",330,1258,214,1802
"","","","Bridgend 015 ","",1031,3780,1046,5857
"","","","Bridgend 015 ","Brackla 1 ",364,1097,188,1649
"","","","","Brackla 5 ",295,1032,180,1507
"","","","","Brackla 7 ",206,931,156,1293
"","","","","Coychurch Lower ",166,720,522,1408
"","","","Bridgend 016 ","",1281,4006,1021,6308
"","","","Bridgend 016 ","Brackla 2 ",261,871,202,1334
"","","","","Brackla 3 ",309,746,131,1186
"","","","","Brackla 4 ",178,833,401,1412
"","","","","Brackla 6 ",533,1556,287,2376
"","","","Bridgend 017 ","",2261,6982,1717,10960
"","","","Bridgend 017 ","Bryntirion Laleston and Merthyr Mawr 3 ",287,956,275,1518
"","","","","Newcastle 2 ",190,890,480,1560
"","","","","Oldcastle 2 ",244,922,376,1542
"","","","","Bryntirion Laleston and Merthyr Mawr 1 ",552,1281,176,2009
"","","","","Bryntirion Laleston and Merthyr Mawr 4 ",344,1019,127,1490
"","","","","Bryntirion Laleston and Merthyr Mawr 5 ",267,839,149,1255
"","","","","Bryntirion Laleston and Merthyr Mawr 6 ",377,1075,134,1586
"","","Bridgend U004 ","","",5432,18923,8281,32636
"","","Bridgend U004 ","Bridgend 008 ","",1756,5734,1711,9201
"","","","Bridgend 008 ","Cefn Cribwr ",253,956,324,1533
"","","","","Pyle 1 ",247,947,324,1518
"","","","","Pyle 2 ",288,813,221,1322
"","","","","Pyle 3 ",298,1040,246,1584
"","","","","Pyle 4 ",450,1207,299,1956
"","","","","Pyle 5 ",220,771,297,1288
"","","","Bridgend 010 ","",1537,4573,1425,7535
"","","","Bridgend 010 ","Cornelly 1 ",273,885,307,1465
"","","","","Cornelly 2 ",298,1107,443,1848
"","","","","Cornelly 3 ",352,917,383,1652
"","","","","Cornelly 4 ",614,1664,292,2570
"","","","Bridgend 018 ","",1109,4645,3149,8903
"","","","Bridgend 018 ","Nottage 1 ",139,779,555,1473
"","","","","Nottage 2 ",253,919,584,1756
"","","","","Porthcawl West Central 1 ",237,976,611,1824
"","","","","Porthcawl West Central 2 ",248,940,510,1698
"","","","","Rest Bay 1 ",99,443,406,948
"","","","","Rest Bay 2 ",133,588,483,1204
"","","","Bridgend 019 ","",1030,3971,1996,6997
"","","","Bridgend 019 ","Newton (Bridgend) 1 ",200,950,677,1827
"","","","","Newton (Bridgend) 2 ",303,1023,524,1850
"","","","","Porthcawl East Central 1 ",260,918,438,1616
"","","","","Porthcawl East Central 2 ",267,1080,357,1704
"","Vale of Glamorgan ","","","",24451,80023,27691,132165
"","Vale of Glamorgan ","The Vale of Glamorgan U001 ","","",5680,19652,7673,33005
"","","The Vale of Glamorgan U001 ","The Vale of Glamorgan 001 ","",1050,3388,1449,5887
"","","","The Vale of Glamorgan 001 ","Llandow/Ewenny ",497,1639,668,2804
"","","","","St. Bride's Major 1 ",254,843,369,1466
"","","","","St. Bride's Major 2 ",299,906,412,1617
"","","","The Vale of Glamorgan 002 ","",993,3270,2066,6329
"","","","The Vale of Glamorgan 002 ","Cowbridge 1 ",236,756,627,1619
"","","","","Cowbridge 2 ",233,794,511,1538
"","","","","Cowbridge 3 ",272,804,520,1596
"","","","","Cowbridge 4 ",252,916,408,1576
"","","","The Vale of Glamorgan 011 ","",1453,5380,2198,9031
"","","","The Vale of Glamorgan 011 ","Llantwit Major 1 ",214,904,353,1471
"","","","","Llantwit Major 2 ",213,807,548,1568
"","","","","Llantwit Major 4 ",265,839,418,1522
"","","","","Llantwit Major 5 ",174,993,346,1513
"","","","","Llantwit Major 6 ",321,933,282,1536
"","","","","Llantwit Major 7 ",266,904,251,1421
"","","","The Vale of Glamorgan 014 ","",2184,7614,1960,11758
"","","","The Vale of Glamorgan 014 ","Llantwit Major 3 ",323,1120,291,1734
"","","","","Rhoose 1 ",203,761,396,1360
"","","","","Rhoose 2 ",496,1637,422,2555
"","","","","Rhoose 4 ",199,863,299,1361
"","","","","St. Athan 1 ",333,936,349,1618
"","","","","St. Athan 2 ",630,2297,203,3130
"","","The Vale of Glamorgan U002 ","","",5186,17663,7196,30045
"","","The Vale of Glamorgan U002 ","The Vale of Glamorgan 003 ","",1241,4265,1770,7276
"","","","The Vale of Glamorgan 003 ","Peterston-super-Ely ",466,1289,557,2312
"","","","","Rhoose 3 ",323,1233,366,1922
"","","","","Wenvoe 1 ",277,1088,408,1773
"","","","","Wenvoe 2 ",175,655,439,1269
"","","","The Vale of Glamorgan 006 ","",1278,4487,2269,8034
"","","","The Vale of Glamorgan 006 ","Dinas Powys 1 ",208,844,495,1547
"","","","","Dinas Powys 2 ",272,877,463,1612
"","","","","Dinas Powys 3 ",360,1030,516,1906
"","","","","Dinas Powys 4 ",206,862,416,1484
"","","","","Dinas Powys 5 ",232,874,379,1485
"","","","The Vale of Glamorgan 010 ","",756,3238,1534,5528
"","","","The Vale of Glamorgan 010 ","Dyfan 1 ",195,958,502,1655
"","","","","Illtyd 1 ",164,585,342,1091
"","","","","Illtyd 3 ",220,950,408,1578
"","","","","Illtyd 6 ",177,745,282,1204
"","","","The Vale of Glamorgan 013 ","",1911,5673,1623,9207
"","","","The Vale of Glamorgan 013 ","Baruc 4 ",246,905,220,1371
"","","","","Buttrills 2 ",311,889,300,1500
"","","","","Dyfan 3 ",335,1081,389,1805
"","","","","Illtyd 2 ",263,782,279,1324
"","","","","Illtyd 4 ",358,1003,213,1574
"","","","","Illtyd 5 ",398,1013,222,1633
"","","The Vale of Glamorgan U003 ","","",8205,25004,6093,39302
"","","The Vale of Glamorgan U003 ","The Vale of Glamorgan 007 ","",2331,6002,1531,9864
"","","","The Vale of Glamorgan 007 ","Court 3 ",441,1037,283,1761
"","","","","Dyfan 2 ",461,1292,330,2083
"","","","","Gibbonsdown 1 ",319,874,178,1371
"","","","","Gibbonsdown 2 ",417,976,210,1603
"","","","","Gibbonsdown 3 ",216,763,328,1307
"","","","","Gibbonsdown 4 ",477,1060,202,1739
"","","","The Vale of Glamorgan 009 ","",1757,5786,1232,8775
"","","","The Vale of Glamorgan 009 ","Cadoc 1 ",272,857,288,1417
"","","","","Cadoc 2 ",353,1201,199,1753
"","","","","Cadoc 4 ",239,799,117,1155
"","","","","Cadoc 5 ",297,993,281,1571
"","","","","Cadoc 6 ",596,1936,347,2879
"","","","The Vale of Glamorgan 012 ","",2434,7256,1462,11152
"","","","The Vale of Glamorgan 012 ","Buttrills 1 ",395,1100,238,1733
"","","","","Buttrills 3 ",340,1053,250,1643
"","","","","Cadoc 3 ",311,930,209,1450
"","","","","Court 1 ",357,1024,203,1584
"","","","","Court 2 ",354,1042,231,1627
"","","","","Castleland 2G ",398,1371,143,1912
"","","","","Castleland 2H ",279,736,188,1203
"","","","The Vale of Glamorgan 015 ","",1683,5960,1868,9511
"","","","The Vale of Glamorgan 015 ","Baruc 1 ",249,908,399,1556
"","","","","Baruc 2 ",234,828,456,1518
"","","","","Baruc 3 ",499,1691,412,2602
"","","","","Buttrills 4 ",310,1048,282,1640
"","","","","Castleland 1 ",391,1485,319,2195
"","","The Vale of Glamorgan U004 ","","",5380,17704,6729,29813
"","","The Vale of Glamorgan U004 ","The Vale of Glamorgan 004 ","",1704,5286,1815,8805
"","","","The Vale of Glamorgan 004 ","Cornerswell 1 ",212,742,221,1175
"","","","","Cornerswell 2 ",334,955,211,1500
"","","","","Cornerswell 3 ",203,782,395,1380
"","","","","Cornerswell 4 ",241,749,298,1288
"","","","","Llandough ",337,1121,461,1919
"","","","","Stanwell 1 ",377,937,229,1543
"","","","The Vale of Glamorgan 005 ","",1759,6451,2322,10532
"","","","The Vale of Glamorgan 005 ","Plymouth (The Vale of Glamorgan) 3 ",304,1005,689,1998
"","","","","St. Augustine's 1 ",185,886,466,1537
"","","","","St. Augustine's 2 ",272,981,241,1494
"","","","","St. Augustine's 3 ",331,934,331,1596
"","","","","St. Augustine's 4 ",384,1875,362,2621
"","","","","Stanwell 2 ",283,770,233,1286
"","","","The Vale of Glamorgan 008 ","",1917,5967,2592,10476
"","","","The Vale of Glamorgan 008 ","Plymouth (The Vale of Glamorgan) 1 ",247,797,503,1547
"","","","","Plymouth (The Vale of Glamorgan) 2 ",477,1296,450,2223
"","","","","Stanwell 3 ",390,1083,352,1825
"","","","","Sully 1 ",238,857,290,1385
"","","","","Sully 2 ",367,1241,663,2271
"","","","","Sully 3 ",198,693,334,1225
"","Cardiff ","","","",67425,245484,51339,364248
"","Cardiff ","Cardiff U001 ","","",5372,16801,6848,29021
"","","Cardiff U001 ","Cardiff 004 ","",1056,3570,1931,6557
"","","","Cardiff 004 ","Rhiwbina 2 ",255,898,368,1521
"","","","","Rhiwbina 5 ",337,1071,415,1823
"","","","","Rhiwbina 6 ",273,819,559,1651
"","","","","Rhiwbina 7 ",191,782,589,1562
"","","","Cardiff 010 ","",1400,4318,1298,7016
"","","","Cardiff 010 ","Whitchurch and Tongwynlais 2 ",361,1118,280,1759
"","","","","Whitchurch and Tongwynlais 7 ",447,1224,282,1953
"","","","","Whitchurch and Tongwynlais 8 ",298,953,362,1613
"","","","","Whitchurch and Tongwynlais 9 ",294,1023,374,1691
"","","","Cardiff 012 ","",1474,4257,1699,7430
"","","","Cardiff 012 ","Heath 5 ",543,1594,371,2508
"","","","","Rhiwbina 1 ",295,860,327,1482
"","","","","Rhiwbina 3 ",379,1008,558,1945
"","","","","Rhiwbina 4 ",257,795,443,1495
"","","","Cardiff 020 ","",1442,4656,1920,8018
"","","","Cardiff 020 ","Whitchurch and Tongwynlais 1 ",354,977,397,1728
"","","","","Whitchurch and Tongwynlais 3 ",237,941,427,1605
"","","","","Whitchurch and Tongwynlais 5 ",318,1007,410,1735
"","","","","Whitchurch and Tongwynlais 6 ",218,787,387,1392
"","","","","Whitchurch and Tongwynlais 10 ",315,944,299,1558
"","","Cardiff U002 ","","",5849,18405,5134,29388
"","","Cardiff U002 ","Cardiff 001 ","",1009,3313,1556,5878
"","","","Cardiff 001 ","Lisvane 1 ",266,777,434,1477
"","","","","Lisvane 2 ",297,961,469,1727
