"","","","","","All ages ","","","All ages "
"","","","","","Aged 0 to 15 ","Aged 16 to 64 ","Aged 65 and over ","."
"","","","","Trelawnyd and Gwaenysgor ",280,1064,470,1814
"","","","Flintshire 002 ","",1298,3927,1469,6694
"","","","Flintshire 002 ","Holywell West ",547,1442,489,2478
"","","","","Mostyn (Flintshire) ",397,1150,379,1926
"","","","","Whitford ",354,1335,601,2290
"","","","Flintshire 006 ","",1166,4743,2198,8107
"","","","Flintshire 006 ","Brynford ",281,1269,578,2128
"","","","","Caerwys 1 ",192,769,297,1258
"","","","","Caerwys 2 ",181,704,367,1252
"","","","","Cilcain ",251,994,542,1787
"","","","","Halkyn ",261,1007,414,1682
"","","","Flintshire 012 ","",1156,3752,1536,6444
"","","","Flintshire 012 ","Buckley Mountain 1 ",384,1203,274,1861
"","","","","Buckley Mountain 2 ",249,855,436,1540
"","","","","Northop 1 ",256,882,470,1608
"","","","","Northop 2 ",267,812,356,1435
"","","Flintshire U002 ","","",5897,18658,5813,30368
"","","Flintshire U002 ","Flintshire 003 ","",2166,6733,1969,10868
"","","","Flintshire 003 ","Bagillt East ",303,1209,364,1876
"","","","","Bagillt West ",406,1385,424,2215
"","","","","Greenfield 1 ",347,936,283,1566
"","","","","Greenfield 2 ",298,859,143,1300
"","","","","Holywell Central ",430,1259,357,2046
"","","","","Holywell East ",382,1085,398,1865
"","","","Flintshire 004 ","",1387,4089,1155,6631
"","","","Flintshire 004 ","Flint Castle ",473,1350,374,2197
"","","","","Flint Coleshill 2 ",177,641,318,1136
"","","","","Flint Oakenholt 1 ",394,915,189,1498
"","","","","Flint Oakenholt 2 ",343,1183,274,1800
"","","","Flintshire 005 ","",1112,3833,1292,6237
"","","","Flintshire 005 ","Flint Coleshill 1 ",272,873,223,1368
"","","","","Flint Coleshill 3 ",245,824,261,1330
"","","","","Flint Trelawny 1 ",303,1176,428,1907
"","","","","Flint Trelawny 2 ",292,960,380,1632
"","","","Flintshire 010 ","",1232,4003,1397,6632
"","","","Flintshire 010 ","Aston 2 ",230,869,559,1658
"","","","","Connah's Quay South 2 ",356,986,333,1675
"","","","","Connah's Quay South 4 ",384,1231,109,1724
"","","","","Northop Hall ",262,917,396,1575
"","","Flintshire U003 ","","",5655,18523,4942,29120
"","","Flintshire U003 ","Flintshire 007 ","",1243,3768,1063,6074
"","","","Flintshire 007 ","Connah's Quay Central 1 ",329,948,342,1619
"","","","","Connah's Quay Central 2 ",356,1067,295,1718
"","","","","Connah's Quay Golftyn 1 ",196,813,237,1246
"","","","","Connah's Quay Golftyn 4 ",362,940,189,1491
"","","","Flintshire 008 ","",1391,4681,1289,7361
"","","","Flintshire 008 ","Connah's Quay Golftyn 2 ",289,882,88,1259
"","","","","Connah's Quay Golftyn 3 ",269,943,158,1370
"","","","","Connah's Quay South 1 ",180,648,362,1190
"","","","","Connah's Quay South 3 ",235,702,283,1220
"","","","","Connah's Quay Wepre ",418,1506,398,2322
"","","","Flintshire 009 ","",2088,6504,1532,10124
"","","","Flintshire 009 ","Sealand 1 ",350,972,229,1551
"","","","","Sealand 2 ",372,1012,178,1562
"","","","","Shotton East ",359,1342,317,2018
"","","","","Shotton Higher 1 ",216,653,227,1096
"","","","","Shotton Higher 2 ",430,959,199,1588
"","","","","Shotton West ",361,1566,382,2309
"","","","Flintshire 011 ","",933,3570,1058,5561
"","","","Flintshire 011 ","Mancot 1 ",279,1097,388,1764
"","","","","Mancot 2 ",290,1032,361,1683
"","","","","Queensferry ",364,1441,309,2114
"","","Flintshire U004 ","","",7491,23888,7452,38831
"","","Flintshire U004 ","Flintshire 013 ","",2092,6464,2308,10864
"","","","Flintshire 013 ","Aston 1 ",348,978,298,1624
"","","","","Buckley Pentrobin 3 ",334,1021,364,1719
"","","","","Ewloe 1 ",330,1113,310,1753
"","","","","Ewloe 2 ",224,797,439,1460
"","","","","Ewloe 3 ",463,1460,316,2239
"","","","","Hawarden ",393,1095,581,2069
"","","","Flintshire 015 ","",2358,7506,1928,11792
"","","","Flintshire 015 ","Broughton North East ",445,1418,440,2303
"","","","","Broughton South 1 ",367,999,221,1587
"","","","","Broughton South 2 ",481,1553,498,2532
"","","","","Saltney Mold Junction ",342,982,201,1525
"","","","","Saltney Stonebridge 1 ",495,1529,275,2299
"","","","","Saltney Stonebridge 2 ",228,1025,293,1546
"","","","Flintshire 017 ","",1885,6131,2017,10033
"","","","Flintshire 017 ","Buckley Bistre East 1 ",242,958,395,1595
"","","","","Buckley Bistre East 2 ",276,1010,428,1714
"","","","","Buckley Bistre West 2 ",348,998,195,1541
"","","","","Buckley Bistre West 3 ",287,881,250,1418
"","","","","Buckley Pentrobin 1 ",282,1064,366,1712
"","","","","Buckley Pentrobin 2 ",450,1220,383,2053
"","","","Flintshire 018 ","",1156,3787,1199,6142
"","","","Flintshire 018 ","Higher Kinnerton ",311,1001,349,1661
