lsoa11cd,lsoa11nm,MHOL_true,patients_total,MHOL_pct
W01001443,Blaenau Gwent 005A,782,6493,12.04373941167411
W01001448,Blaenau Gwent 002C,550,10473,5.251599350711353
W01001451,Blaenau Gwent 007B,53,3567,1.485842444631343
W01001455,Blaenau Gwent 008F,631,11592,5.4434092477570735
W01001456,Blaenau Gwent 004C,647,6902,9.374094465372355
W01001461,Blaenau Gwent 007F,191,7078,2.6985024018084203
W01001465,Blaenau Gwent 009B,285,4556,6.2554872695346795
W01001481,Blaenau Gwent 006E,468,6713,6.971547743184865
W01001487,Torfaen 001A,862,6459,13.34571915157145
W01001506,Torfaen 010A,1600,9259,17.2804838535479
W01001507,Torfaen 008D,983,3986,24.661314601103864
W01001515,Torfaen 006B,483,6722,7.185361499553704
W01001521,Torfaen 007C,788,3968,19.858870967741936
W01001522,Torfaen 007D,2922,7440,39.274193548387096
W01001524,Torfaen 004D,2717,25894,10.492778249787596
W01001527,Torfaen 010C,2597,8151,31.86112133480555
W01001546,Monmouthshire 002A,3510,10292,34.10415856976292
W01001554,Monmouthshire 004C,4343,18402,23.600695576567766
W01001557,Monmouthshire 001C,2115,8725,24.240687679083095
W01001580,Monmouthshire 002E,772,4053,19.047619047619047
W01001583,Monmouthshire 007B,646,1873,34.49012279765083
W01001586,Monmouthshire 007D,7570,16907,44.774353817945226
W01001588,Monmouthshire 010D,5458,19480,28.01848049281314
W01001596,Monmouthshire 006E,648,6118,10.591696632886565
W01001603,Newport 012C,313,6817,4.591462520170163
W01001608,Newport 008B,2481,20895,11.873653984206747
W01001623,Newport 001A,1343,9570,14.033437826541276
W01001646,Newport 015E,94,5049,1.8617548029312734
W01001649,Newport 004D,843,4541,18.56419290905087
W01001659,Newport 018A,2686,17515,15.335426777048244
W01001660,Newport 018B,1613,15449,10.44080523011198
W01001666,Newport 010B,413,8290,4.981905910735826
W01001674,Newport 009E,2260,12105,18.669971086327962
W01001675,Newport 007A,622,6408,9.706616729088639
W01001680,Newport 007E,696,13538,5.141084355148471
W01001684,Newport 006E,1473,9421,15.6352828786753
W01001687,Newport 014D,49,4789,1.0231781165170182
W01001688,Newport 019C,1592,6288,25.318066157760814
W01001690,Newport 013D,292,9835,2.9689883070665988
W01001698,Cardiff 036E,48,6090,0.7881773399014778
W01001699,Cardiff 049A,512,8974,5.705371071985737
W01001705,Cardiff 045C,57,2557,2.2291748142354324
W01001708,Cardiff 045D,7,3200,0.21875000000000003
W01001709,Cardiff 040A,291,6446,4.514427551970214
W01001722,Cardiff 028D,967,5254,18.405024743052913
W01001726,Cardiff 028E,632,8073,7.828564350303481
W01001742,Cardiff 043A,276,7952,3.470824949698189
W01001744,Cardiff 043C,389,8366,4.649772890270141
W01001746,Cardiff 041D,0,12668,0.0
W01001750,Cardiff 031A,114,9296,1.2263339070567987
W01001755,Cardiff 025A,686,18339,3.7406619772070453
W01001760,Cardiff 046B,73,10792,0.6764269829503335
W01001766,Cardiff 044C,252,5651,4.45938771898779
W01001767,Cardiff 044D,298,12471,2.389543741480234
W01001769,Cardiff 018A,509,7902,6.4414072386737535
W01001773,Cardiff 012A,690,10685,6.457650912494151
W01001781,Cardiff 026C,819,6886,11.893697356956142
W01001783,Cardiff 026E,270,5999,4.500750125020836
W01001789,Cardiff 023E,805,6746,11.93299733175215
W01001791,Cardiff 005A,691,9078,7.6118087684512
W01001795,Cardiff 002B,1134,14284,7.938952674320919
W01001813,Cardiff 017D,3644,18137,20.091525610630203
W01001824,Cardiff 029C,1586,23540,6.737468139337298
W01001829,Cardiff 033A,1130,13548,8.340714496604665
W01001833,Cardiff 033D,1420,7879,18.022591699454246
W01001844,Cardiff 003D,210,10122,2.0746887966804977
W01001857,Cardiff 042C,168,3792,4.430379746835443
W01001861,Cardiff 034D,658,7703,8.542126444242502
W01001868,Cardiff 022D,1266,15497,8.16932309479254
W01001873,Cardiff 038C,1428,7379,19.352215747391245
W01001875,Cardiff 037C,3159,12996,24.30747922437673
W01001877,Cardiff 011A,228,4987,4.571886905955484
W01001878,Cardiff 011B,1492,19154,7.789495666701472
W01001891,Cardiff 020C,626,8365,7.48356246264196
W01001903,Powys 018F,799,9385,8.513585508790623
W01001931,Wrexham 012G,206,5557,3.7070361705956447
W01001932,Gwynedd 014E,727,4983,14.589604655829822
W01001934,Ceredigion 002F,387,11423,3.3879016020309907
W01001935,Ceredigion 003E,312,7605,4.102564102564102
W01001937,Ceredigion 001F,240,2677,8.965259618976466
W01001954,Cardiff 006F,1053,8878,11.86077945483217
W01001955,Swansea 025F,1909,17123,11.148747298954623
