area_code,groupCount
W01000211,0.0
W01000212,0.0
W01000213,0.0
W01000214,0.0
W01000215,0.0
W01000216,0.0
W01000217,0.0
W01000218,1.0
W01000219,0.0
W01000220,0.0
W01000221,0.0
W01000222,0.0
W01000223,0.0
W01000224,0.0
W01000225,0.0
W01000226,0.0
W01000227,0.0
W01000228,0.0
W01000229,0.0
W01000230,0.0
W01000231,0.0
W01000232,0.0
W01000233,0.0
W01000234,0.0
W01000235,0.0
W01000236,0.0
W01000237,0.0
W01000238,0.0
W01000239,0.0
W01000240,2.0
W01000241,0.0
W01000242,0.0
W01000243,0.0
W01000244,0.0
W01000245,0.0
W01000246,0.0
W01000247,0.0
W01000248,0.0
W01000249,0.0
W01000250,0.0
W01000251,0.0
W01000252,0.0
W01000253,0.0
W01000254,0.0
W01000255,0.0
W01000256,0.0
W01000257,0.0
W01000258,0.0
W01000259,0.0
W01000260,0.0
W01000261,0.0
W01000262,2.0
W01000263,0.0
W01000264,0.0
W01000265,0.0
W01000266,0.0
W01000267,0.0
W01000268,0.0
W01000269,1.0
W01000270,0.0
W01000271,0.0
W01000272,0.0
W01000273,0.0
W01000274,0.0
W01000275,0.0
W01000276,0.0
W01000277,0.0
W01000278,0.0
W01000279,0.0
W01000280,0.0
W01000281,0.0
W01000282,0.0
W01000283,0.0
W01000284,0.0
W01000285,0.0
W01000286,0.0
W01000287,0.0
W01000288,0.0
W01000289,0.0
W01000290,0.0
W01000291,0.0
W01000292,0.0
W01000293,0.0
W01000294,0.0
W01000295,0.0
W01000296,0.0
W01000297,0.0
W01000298,0.0
W01000299,0.0
W01000300,0.0
W01000301,0.0
W01000302,0.0
W01000303,0.0
W01000304,1.0
W01000305,0.0
W01000306,0.0
W01000307,0.0
W01000308,0.0
W01000309,0.0
W01000310,0.0
W01000311,0.0
W01000312,0.0
W01000313,0.0
W01000314,4.0
W01000315,0.0
W01000316,0.0
W01000317,0.0
W01000318,0.0
W01000319,0.0
W01000320,0.0
W01000321,0.0
W01000322,0.0
W01000323,0.0
W01000324,0.0
W01000325,0.0
W01000326,0.0
W01000327,0.0
W01000328,0.0
W01000329,0.0
W01000330,0.0
W01000331,0.0
W01000332,0.0
W01000333,0.0
W01000334,0.0
W01000335,0.0
W01000336,0.0
W01000337,0.0
W01000338,0.0
W01000339,0.0
W01000340,0.0
W01000341,0.0
W01000342,0.0
W01000343,0.0
W01000344,0.0
W01000345,0.0
W01000346,0.0
W01000347,0.0
W01000348,0.0
W01000349,0.0
W01000350,0.0
W01000351,0.0
W01000352,0.0
W01000353,0.0
W01000354,0.0
W01000355,0.0
W01000356,0.0
W01000359,0.0
W01000360,0.0
W01000361,1.0
W01000362,0.0
W01000363,0.0
W01000364,0.0
W01000365,0.0
