"","","","Percentage able to speak Welsh "
"Wales ","","",19
"","","W01000383 ",11.1
"","","W01000384 ",8.9
"","","W01000385 ",17.9
"","","W01000386 ",14.7
"","","W01000387 ",16.1
"","","W01000388 ",13
"","","W01000389 ",13.5
"","","W01000390 ",9.6
"","","W01000391 ",11.8
"","","W01000392 ",11.5
"","","W01000393 ",12.5
"","","W01000394 ",11.4
"","","W01000395 ",8.1
"","","W01000396 ",9.6
"","","W01000397 ",11.4
"","","W01000398 ",17.7
"","","W01000399 ",17.9
"","","W01000400 ",9.7
"","","W01000401 ",11.8
"","","W01000402 ",10.6
"","","W01000403 ",6.6
"","","W01000404 ",9.8
"","","W01000405 ",26.6
"","","W01000406 ",19.6
"","","W01000407 ",12.4
"","","W01000408 ",18.2
"","","W01000409 ",11.4
"","","W01000410 ",27.4
"","","W01000411 ",26.5
"","","W01000412 ",30.6
"","","W01000413 ",8.6
"","","W01000414 ",8.6
"","","W01000415 ",9.6
"","","W01000416 ",9.6
"","","W01000417 ",8.4
"","","W01000418 ",8.5
"","","W01000419 ",15.1
"","","W01000420 ",12
"","","W01000422 ",10.8
"","","W01000423 ",14.1
"","","W01000424 ",10.5
"","","W01000425 ",7.7
"","","W01001929 ",7.5
"","","W01001930 ",31.2
"","","W01001931 ",9
"","Powys ","",18.6
"","Powys ","W01000426 ",38.6
"","","W01000427 ",10
"","","W01000428 ",9.5
"","","W01000429 ",23.4
"","","W01000430 ",9.7
"","","W01000431 ",15.8
"","","W01000432 ",15.3
"","","W01000433 ",25.9
"","","W01000434 ",4.3
"","","W01000438 ",11.3
"","","W01000439 ",13.9
"","","W01000440 ",12.7
"","","W01000441 ",10.9
"","","W01000442 ",57.8
"","","W01000443 ",8.7
"","","W01000444 ",15.6
"","","W01000445 ",10
"","","W01000446 ",9
"","","W01000447 ",12.9
"","","W01000448 ",8.5
"","","W01000449 ",8.5
"","","W01000450 ",13.8
"","","W01000451 ",11.6
"","","W01000452 ",52.3
"","","W01000453 ",14.2
"","","W01000454 ",11.4
"","","W01000455 ",14.1
"","","W01000456 ",11.4
"","","W01000457 ",10.8
"","","W01000458 ",11.1
"","","W01000459 ",13.9
"","","W01000460 ",36
"","","W01000461 ",34.1
"","","W01000464 ",8
"","","W01000465 ",11.3
"","","W01000466 ",15.7
"","","W01000467 ",15.3
"","","W01000470 ",19.7
"","","W01000471 ",16.8
"","","W01000472 ",11.4
"","","W01000473 ",51.6
"","","W01000474 ",25.7
"","","W01000475 ",32.7
"","","W01000476 ",12.4
"","","W01000477 ",12.2
"","","W01000478 ",15.3
"","","W01000479 ",14.4
"","","W01000480 ",12
"","","W01000481 ",14.9
"","","W01000482 ",16.7
"","","W01000483 ",15.3
"","","W01000484 ",6.8
"","","W01000485 ",8
"","","W01000486 ",11.1
"","","W01000487 ",11.8
"","","W01000488 ",22.1
"","","W01000489 ",11.2
"","","W01000492 ",12.9
"","","W01000493 ",13
"","","W01000494 ",11.8
"","","W01000496 ",24.4
"","","W01000497 ",14.7
"","","W01000498 ",9.9
"","","W01000499 ",10.9
"","","W01000500 ",12.5
"","","W01000501 ",14.3
"","","W01000502 ",45.9
"","","W01000503 ",17.1
"","","W01000504 ",34.6
"","","W01000505 ",44.3
"","","W01001897 ",13.1
"","","W01001899 ",46.2
"","","W01001901 ",13.7
"","","W01001902 ",12.6
"","","W01001903 ",8.3
"","","W01001904 ",9.4
"","","W01001905 ",11.4
"","","W01001906 ",42.1
"","","W01001907 ",29.5
"","Ceredigion ","",47.3
"","Ceredigion ","W01000506 ",59.9
"","","W01000507 ",43.6
"","","W01000508 ",45.2
"","","W01000509 ",58.8
"","","W01000510 ",55.8
"","","W01000511 ",46.9
"","","W01000512 ",36.5
"","","W01000513 ",26.6
"","","W01000515 ",37.2
"","","W01000516 ",35.8
"","","W01000517 ",27.3
"","","W01000518 ",34.2
"","","W01000519 ",52.9
"","","W01000522 ",50.7
"","","W01000523 ",52.9
"","","W01000524 ",54
"","","W01000525 ",46.5
"","","W01000527 ",36.5
"","","W01000528 ",57.8
"","","W01000529 ",50.7
"","","W01000531 ",54.7
"","","W01000532 ",50.8
"","","W01000533 ",63.5
"","","W01000534 ",54
"","","W01000535 ",56.9
"","","W01000536 ",54.9
"","","W01000537 ",49
"","","W01000538 ",57.7
"","","W01000539 ",50
"","","W01000540 ",53.3
"","","W01000541 ",59.2
"","","W01000542 ",54.3
"","","W01000543 ",49.4
"","","W01000544 ",41.5
"","","W01000545 ",48.5
"","","W01000546 ",49.3
"","","W01000547 ",60.4
"","","W01000548 ",54.8
"","","W01000549 ",56.5
"","","W01000550 ",66.9
"","","W01000551 ",50.9
"","","W01000552 ",58.3
"","","W01001934 ",23.1
"","","W01001935 ",39.2
"","","W01001936 ",24.4
"","","W01001937 ",40.6
"","Pembrokeshire ","",19.2
"","Pembrokeshire ","W01000553 ",11.6
"","","W01000554 ",12
"","","W01000555 ",16.5
"","","W01000556 ",16.2
"","","W01000557 ",12.1
"","","W01000558 ",51.7
"","","W01000559 ",55.9
"","","W01000560 ",62.5
"","","W01000561 ",58.3
"","","W01000562 ",49.7
"","","W01000563 ",12.4
"","","W01000564 ",12
"","","W01000565 ",34.3
"","","W01000566 ",35
"","","W01000567 ",28.5
"","","W01000568 ",15.6
"","","W01000569 ",12.7
"","","W01000570 ",14.7
"","","W01000571 ",13.7
"","","W01000572 ",16.1
"","","W01000573 ",13.5
"","","W01000574 ",11.2
"","","W01000575 ",11.4
"","","W01000576 ",10.9
"","","W01000577 ",22.8
"","","W01000578 ",10.2
"","","W01000579 ",37.8
"","","W01000580 ",12.8
"","","W01000581 ",42.1
"","","W01000582 ",45.1
"","","W01000583 ",51.3
"","","W01000584 ",11.4
"","","W01000585 ",18
"","","W01000586 ",14.4
"","","W01000587 ",7.5
"","","W01000588 ",9.9
"","","W01000589 ",8.7
"","","W01000590 ",7.3
"","","W01000591 ",10.5
"","","W01000592 ",8.9
"","","W01000593 ",9.3
"","","W01000594 ",9.1
"","","W01000595 ",21.8
"","","W01000596 ",17.2
"","","W01000597 ",42.8
"","","W01000598 ",10.7
"","","W01000599 ",10.9
"","","W01000600 ",9.2
"","","W01000601 ",8.8
"","","W01000602 ",9
"","","W01000603 ",9.5
"","","W01000604 ",9.7
"","","W01000605 ",9.1
"","","W01000606 ",10.2
"","","W01000607 ",10.3
"","","W01000608 ",10.5
"","","W01000609 ",11.2
"","","W01000610 ",12.4
"","","W01000611 ",18.9
"","","W01000612 ",29
"","","W01000613 ",46.1
"","","W01000614 ",8.7
"","","W01000615 ",10.1
"","","W01000616 ",11
"","","W01000617 ",36.4
"","","W01000618 ",24.4
"","","W01000619 ",11.6
"","","W01000620 ",7.7
"","","W01000621 ",10.5
"","","W01000622 ",13.5
"","","W01000623 ",23.9
