LSOA11CD,LSOA11NM,population_count
W01000146,Conwy 001B,2070
W01000147,Conwy 001C,1504
W01000148,Conwy 015D,1160
W01000149,Conwy 005A,1497
W01000244,Denbighshire 014C,1648
W01001869,Cardiff 038A,1300
W01001274,Rhondda Cynon Taf 013B,1239
W01001584,Monmouthshire 008B,1878
W01000104,Gwynedd 008C,1892
W01000184,Conwy 005E,2322
W01000186,Conwy 001E,1761
W01000185,Conwy 015E,1280
W01000187,Conwy 002C,1600
W01000107,Gwynedd 010E,1244
W01000106,Gwynedd 010D,1601
W01000105,Gwynedd 010C,1844
W01000102,Gwynedd 002E,1428
W01001683,Newport 006D,1101
W01000118,Gwynedd 007D,1728
W01001463,Blaenau Gwent 006B,1926
W01000540,Ceredigion 005E,1127
W01000971,Neath Port Talbot 004G,1428
W01000543,Ceredigion 011C,1946
W01001497,Torfaen 011A,1441
W01000500,Powys 003C,1510
W01001926,Conwy 011F,2253
W01000135,Conwy 006A,2185
W01000344,Wrexham 007B,1240
W01001660,Newport 018B,2196
W01001663,Newport 008C,1384
W01001662,Newport 018D,1491
W01001665,Newport 008D,1593
W01000518,Ceredigion 003C,1034
W01000835,Swansea 013E,1499
W01000832,Swansea 011B,1661
W01001343,Caerphilly 021B,1145
W01001344,Caerphilly 020C,1636
W01001345,Caerphilly 021C,1450
W01001346,Caerphilly 020D,1627
W01001347,Caerphilly 005C,1445
W01001138,Rhondda Cynon Taf 005B,1271
W01001139,Rhondda Cynon Taf 005C,1671
W01001340,Caerphilly 020A,1819
W01001341,Caerphilly 020B,1775
W01001525,Torfaen 003A,1775
W01000970,Neath Port Talbot 005D,1251
W01000272,Flintshire 006D,1787
W01000275,Flintshire 007C,1246
W01000274,Flintshire 007B,1718
W01001148,Rhondda Cynon Taf 002A,1811
W01001187,Rhondda Cynon Taf 001B,1384
W01001149,Rhondda Cynon Taf 003A,1505
W01001030,Bridgend 019B,1850
W01001031,Bridgend 018A,1473
W01001104,The Vale of Glamorgan 004E,1919
W01001185,Rhondda Cynon Taf 022A,1971
W01001755,Cardiff 025A,1428
W01001240,Rhondda Cynon Taf 026C,1989
W01001032,Bridgend 018B,1756
W01001033,Bridgend 003E,1763
W01001034,Bridgend 003F,1446
W01001035,Bridgend 014E,1802
W01001107,The Vale of Glamorgan 011B,1568
W01001036,Bridgend 017D,1542
W01001243,Rhondda Cynon Taf 030E,1525
W01001186,Rhondda Cynon Taf 001A,1785
W01001037,Bridgend 013B,1687
W01001106,The Vale of Glamorgan 011A,1471
W01000004,Isle of Anglesey 001B,1257
W01001089,The Vale of Glamorgan 006D,1484
W01001181,Rhondda Cynon Taf 015B,1421
W01001100,The Vale of Glamorgan 010C,1578
W01001182,Rhondda Cynon Taf 021A,1378
W01001103,The Vale of Glamorgan 010D,1204
W01001183,Rhondda Cynon Taf 021B,977
W01001102,The Vale of Glamorgan 013F,1633
W01001184,Rhondda Cynon Taf 026A,2070
W01001105,The Vale of Glamorgan 001A,2804
W01001180,Rhondda Cynon Taf 015A,1576
W01001101,The Vale of Glamorgan 013E,1574
W01001319,Merthyr Tydfil 007B,1804
W01000689,Carmarthenshire 003C,1621
W01001178,Rhondda Cynon Taf 023A,1669
W01000685,Carmarthenshire 001A,1568
W01001812,Cardiff 017C,1283
W01001001,Bridgend 010C,1652
W01001762,Cardiff 046D,1890
W01001021,Bridgend 014A,1600
W01000603,Pembrokeshire 013D,1917
W01001485,Torfaen 002D,1340
W01001407,Caerphilly 016A,1359
W01001486,Torfaen 002E,1525
W01001862,Cardiff 042D,1752
W01001464,Blaenau Gwent 009A,1535
W01001273,Rhondda Cynon Taf 010E,1735
W01001503,Torfaen 009B,1355
W01001259,Rhondda Cynon Taf 018E,1703
W01000075,Gwynedd 002C,1505
W01000736,Swansea 028A,1709
W01000651,Carmarthenshire 020A,1588
W01000650,Carmarthenshire 002B,1580
W01001494,Torfaen 008B,1544
W01001046,Bridgend 018C,1824
W01000688,Carmarthenshire 003B,1745
W01001027,Bridgend 017C,1560
W01000684,Carmarthenshire 005D,1895
W01000655,Carmarthenshire 020C,2099
W01000654,Carmarthenshire 023B,1801
W01000657,Carmarthenshire 010B,1128
W01001500,Torfaen 011D,1290
W01000070,Gwynedd 012A,1339
W01001256,Rhondda Cynon Taf 019C,1286
W01000979,Bridgend 015A,1649
W01001651,Newport 002A,1399
W01001493,Torfaen 008A,1914
W01001821,Cardiff 024A,1932
W01000929,Neath Port Talbot 020D,1269
W01001624,Newport 001B,1233
W01001331,Caerphilly 018B,1800
W01001338,Caerphilly 004C,1734
W01001333,Caerphilly 018D,1555
W01001330,Caerphilly 018A,1509
W01001335,Caerphilly 005B,1269
W01001332,Caerphilly 018C,1995
W01001337,Caerphilly 004B,1511
W01001334,Caerphilly 005A,1499
W01001339,Caerphilly 004D,1452
W01001006,Bridgend 009C,2332
W01001861,Cardiff 034D,1725
W01000329,Flintshire 015D,1525
W01001846,Cardiff 006C,1827
W01000585,Pembrokeshire 007B,1413
W01001467,Blaenau Gwent 005D,1935
W01001526,Torfaen 010B,1408
W01000977,Bridgend 003B,1410
W01000637,Carmarthenshire 007A,1416
W01001675,Newport 007A,1571
W01001674,Newport 009E,1500
W01001676,Newport 007B,1743
W01001677,Newport 007C,1423
W01001672,Newport 009C,2605
W01000428,Powys 005A,1341
W01001777,Cardiff 001A,1477
W01000844,Swansea 005F,1518
W01001418,Caerphilly 008E,1443
W01000294,Flintshire 005C,1907
W01000215,Denbighshire 002C,1413
W01000214,Denbighshire 002B,1061
W01000295,Flintshire 005D,1632
W01000217,Denbighshire 008C,1990
W01000296,Flintshire 003C,1566
W01001428,Caerphilly 001E,1271
W01000212,Denbighshire 003A,2126
W01000703,Carmarthenshire 022A,1808
W01000702,Carmarthenshire 001D,1210
W01000784,Swansea 007A,1305
W01000705,Carmarthenshire 022C,1967
W01001480,Blaenau Gwent 003E,1594
W01001401,Caerphilly 011A,2058
W01001400,Caerphilly 019F,1480
W01000782,Swansea 023C,1072
W01000928,Neath Port Talbot 020C,1626
W01001458,Blaenau Gwent 004E,1522
W01001459,Blaenau Gwent 007D,1210
W01000778,Swansea 012C,1874
W01000779,Swansea 012D,1467
W01001007,Bridgend 009D,1896
W01001120,The Vale of Glamorgan 014D,1361
W01001123,The Vale of Glamorgan 005B,1537
W01000002,Isle of Anglesey 007B,1241
W01000636,Carmarthenshire 025B,2002
W01000771,Swansea 020D,1310
W01000947,Neath Port Talbot 004C,2134
W01000946,Neath Port Talbot 004B,1614
W01001512,Torfaen 005C,1251
W01001594,Monmouthshire 007E,1477
W01001514,Torfaen 006A,1100
W01001515,Torfaen 006B,1422
W01001596,Monmouthshire 006E,1418
W01001595,Monmouthshire 007F,1322
W01000945,Neath Port Talbot 014E,1121
W01001593,Monmouthshire 008E,1735
W01000944,Neath Port Talbot 002B,1197
W01001648,Newport 015G,1496
W01001649,Newport 004D,2400
W01000531,Ceredigion 010C,1787
W01000533,Ceredigion 010D,1427
W01001589,Monmouthshire 010E,1499
W01001507,Torfaen 008D,2003
W01000560,Pembrokeshire 001C,1266
W01000563,Pembrokeshire 011B,1162
W01000562,Pembrokeshire 002A,1683
W01000565,Pembrokeshire 002B,1936
W01001689,Newport 019D,1802
W01000113,Gwynedd 009C,1903
W01001383,Caerphilly 010D,1562
W01001302,Merthyr Tydfil 006B,1175
W01001384,Caerphilly 002C,1653
W01001305,Merthyr Tydfil 003C,1204
W01001385,Caerphilly 002D,1531
W01001304,Merthyr Tydfil 006D,1439
W01001386,Caerphilly 002E,1616
W01001307,Merthyr Tydfil 004C,1573
W01001382,Caerphilly 010C,1621
W01001303,Merthyr Tydfil 006C,1037
W01001527,Torfaen 010C,1225
W01000975,Bridgend 004A,2299
W01000963,Neath Port Talbot 016E,1924
W01000962,Neath Port Talbot 016D,1627
W01000965,Neath Port Talbot 002C,2088
W01000964,Neath Port Talbot 016F,1728
W01000967,Neath Port Talbot 019C,1522
W01000966,Neath Port Talbot 018E,1458
W01001220,Rhondda Cynon Taf 018D,1478
W01001223,Rhondda Cynon Taf 031C,1674
W01001225,Rhondda Cynon Taf 031E,1660
W01001222,Rhondda Cynon Taf 001E,1650
W01001224,Rhondda Cynon Taf 031D,2105
W01001221,Rhondda Cynon Taf 001D,1502
W01000241,Denbighshire 004F,1462
W01001569,Monmouthshire 003E,1493
W01001568,Monmouthshire 005C,1790
W01001122,The Vale of Glamorgan 014F,3130
W01001125,The Vale of Glamorgan 005D,1596
W01001908,Monmouthshire 010G,2108
W01001124,The Vale of Glamorgan 005C,1494
W01001127,The Vale of Glamorgan 001B,1466
W01001126,The Vale of Glamorgan 005E,2621
W01000253,Flintshire 003A,1876
W01001314,Merthyr Tydfil 005A,2283
W01000681,Carmarthenshire 011B,1987
W01001607,Newport 015A,1526
W01000112,Gwynedd 008D,2016
W01000503,Powys 020C,1086
W01001669,Newport 009A,1248
W01000825,Swansea 031C,1435
W01000139,Conwy 007A,1422
W01001829,Cardiff 033A,1764
W01000003,Isle of Anglesey 001A,2611
W01000480,Powys 008A,2104
W01001791,Cardiff 005A,1614
W01001710,Cardiff 040B,1827
W01001713,Cardiff 040E,1713
W01000424,Wrexham 012E,1227
W01001732,Cardiff 019A,1661
W01000805,Swansea 028D,1190
W01000883,Neath Port Talbot 016A,1380
W01001735,Cardiff 019D,1646
W01000884,Neath Port Talbot 017A,1298
W01001734,Cardiff 019C,1582
W01000885,Neath Port Talbot 017B,1441
W01000804,Swansea 028C,1466
W01000807,Swansea 003B,1331
W01001737,Cardiff 039A,1608
W01000802,Swansea 007D,2393
W01001711,Cardiff 040C,1869
W01001790,Cardiff 023F,1273
W01000698,Carmarthenshire 015B,1917
W01000619,Pembrokeshire 016B,2078
W01000618,Pembrokeshire 003D,1931
W01000699,Carmarthenshire 015C,1557
W01001765,Cardiff 044B,1512
W01001764,Cardiff 044A,2063
W01001767,Cardiff 044D,1792
W01001766,Cardiff 044C,1823
W01001406,Caerphilly 001D,1932
W01000787,Swansea 016C,1422
W01001404,Caerphilly 011D,1322
W01001484,Torfaen 002C,1679
W01000446,Powys 015D,1523
W01001427,Caerphilly 024F,2003
W01001426,Caerphilly 024E,1322
W01001424,Caerphilly 024C,1421
W01001365,Caerphilly 012C,2064
W01001155,Rhondda Cynon Taf 002D,1565
W01000706,Carmarthenshire 025C,1553
W01000324,Flintshire 012D,1435
W01000758,Swansea 017D,1982
W01000196,Denbighshire 012B,1485
W01001468,Blaenau Gwent 005E,1365
W01000509,Ceredigion 009C,1833
W01000584,Pembrokeshire 014C,2044
W01001487,Torfaen 001A,1685
W01000997,Bridgend 012A,1651
W01000916,Neath Port Talbot 010E,1242
W01001631,Newport 017C,1352
W01001630,Newport 017B,1507
W01001633,Newport 019A,1644
W01001219,Rhondda Cynon Taf 018C,1252
W01001298,Merthyr Tydfil 002D,1813
W01001218,Rhondda Cynon Taf 018B,1563
W01001299,Merthyr Tydfil 008A,1663
W01000744,Swansea 016B,1663
W01000747,Swansea 024A,2099
W01000950,Neath Port Talbot 018B,1524
W01000953,Neath Port Talbot 005B,1759
W01000745,Swansea 025B,2488
W01000951,Neath Port Talbot 018C,1592
W01001572,Monmouthshire 011A,1684
W01001575,Monmouthshire 005D,1251
W01001574,Monmouthshire 011C,1376
W01001577,Monmouthshire 004E,1366
W01001573,Monmouthshire 011B,1479
W01000819,Swansea 009C,1494
W01001788,Cardiff 023D,1433
W01001709,Cardiff 040A,2071
W01001789,Cardiff 023E,1584
W01001697,Cardiff 036D,1619
W01001616,Newport 005C,1436
W01000479,Powys 009B,1406
W01000478,Powys 009A,1873
W01001696,Cardiff 036C,1708
W01001617,Newport 003A,1306
W01001758,Cardiff 025D,2152
W01000868,Swansea 024B,1250
W01000869,Swansea 024C,1559
W01000839,Swansea 030C,1065
W01000838,Swansea 004E,1294
W01000366,Wrexham 014A,1445
W01001554,Monmouthshire 004C,1883
W01001557,Monmouthshire 001C,1853
W01001556,Monmouthshire 006B,1234
W01000388,Wrexham 008E,1088
W01000309,Flintshire 019C,2185
W01000389,Wrexham 017D,2047
W01000308,Flintshire 020C,1233
W01000380,Wrexham 004D,1374
W01000301,Flintshire 006E,1682
W01001555,Monmouthshire 006A,1111
W01001745,Cardiff 043D,1328
W01001744,Cardiff 043C,1762
W01001742,Cardiff 043A,1554
W01001315,Merthyr Tydfil 004D,1762
W01001280,Rhondda Cynon Taf 017E,1559
W01001201,Rhondda Cynon Taf 014B,1240
W01001200,Rhondda Cynon Taf 014A,989
W01000351,Wrexham 005A,2208
W01000350,Wrexham 011B,1532
W01000353,Wrexham 010B,1370
W01000352,Wrexham 010A,990
W01000355,Wrexham 017B,1702
W01000354,Wrexham 017A,1819
W01000356,Wrexham 017C,1637
W01000069,Gwynedd 013A,1534
W01000359,Wrexham 019C,1172
W01000842,Swansea 005D,1424
W01001023,Bridgend 014C,1674
W01000440,Powys 020A,1365
W01001498,Torfaen 011B,1203
W01000023,Isle of Anglesey 007D,1539
W01000022,Isle of Anglesey 004A,1580
W01000025,Isle of Anglesey 009B,2096
W01000024,Isle of Anglesey 007E,1449
W01000027,Isle of Anglesey 009C,1870
W01000026,Isle of Anglesey 005D,1158
W01000179,Conwy 010F,1697
W01000178,Conwy 010E,1875
W01000021,Isle of Anglesey 002C,2224
W01000020,Isle of Anglesey 002B,1337
W01000233,Denbighshire 017C,1285
W01001864,Cardiff 022B,1504
W01001501,Torfaen 009A,1347
W01001771,Cardiff 018C,1612
W01000828,Swansea 018B,1763
W01000506,Ceredigion 005A,1331
W01000987,Bridgend 007B,2633
W01000906,Neath Port Talbot 007A,1046
W01000986,Bridgend 007A,1474
W01000907,Neath Port Talbot 007B,1779
W01000985,Bridgend 015C,1293
W01000904,Neath Port Talbot 006C,1566
W01000984,Bridgend 016D,2376
W01001492,Torfaen 012A,2484
W01001815,Cardiff 008D,1314
W01001082,The Vale of Glamorgan 002A,1619
W01000508,Ceredigion 009B,1168
W01000905,Neath Port Talbot 006D,1560
W01000983,Bridgend 015B,1507
W01000902,Neath Port Talbot 006A,1015
W01000982,Bridgend 016C,1412
W01000903,Neath Port Talbot 006B,1084
W01000900,Neath Port Talbot 014C,1598
W01000981,Bridgend 016B,1186
W01000466,Powys 010C,1357
W01000340,Flintshire 002C,2290
W01000076,Gwynedd 001B,1188
W01000049,Gwynedd 016B,1074
W01000336,Flintshire 009E,1588
W01000041,Isle of Anglesey 006D,1647
W01000048,Gwynedd 016A,1367
W01000043,Isle of Anglesey 004E,1267
W01000040,Isle of Anglesey 004D,1118
W01000044,Isle of Anglesey 004F,1141
W01000042,Isle of Anglesey 008D,2179
W01000337,Flintshire 009F,2309
W01000334,Flintshire 009C,2018
W01000009,Isle of Anglesey 007C,1960
