LSOA11CD,LSOA11NM,welsh_speakers_percent,wimd_2019,population_count,pop_density_persqkm,over_65_count
W01000191,Denbighshire 009A,17.9,1002,2194,131.6168354369631,433
W01000973,Neath Port Talbot 020F,47.3,372,1397,2090.065828845003,290
W01001911,The Vale of Glamorgan 012H,10.2,452,1203,10229.591836734697,188
W01001910,The Vale of Glamorgan 012G,9.9,350,1912,5857.843137254901,143
W01001727,Cardiff 014A,22.9,1756,1085,172.93316969764592,296
W01001726,Cardiff 028E,11.8,958,1830,4225.352112676056,114
W01001937,Ceredigion 001F,40.6,1356,2027,79.53354966040312,533
W01001934,Ceredigion 002F,23.1,1540,4021,842.5530131589975,382
W01001936,Ceredigion 003F,24.4,1689,1834,871.6315764459863,239
W01001724,Cardiff 032C,11.0,806,2371,22473.933649289098,39
W01001935,Ceredigion 003E,39.2,1449,1097,1060.00579766161,173
W01001416,Caerphilly 008C,10.0,1008,1439,1375.7170172084132,375
W01001932,Gwynedd 014E,74.7,952,2942,25.03712592176537,729
W01001958,Swansea 025H,8.3,1034,1546,4951.953875720692,203
W01000941,Neath Port Talbot 012B,9.3,328,1575,3090.6593406593397,223
W01000940,Neath Port Talbot 008E,8.0,261,1337,1617.27349703641,230
W01000942,Neath Port Talbot 012C,7.3,199,1924,3312.67217630854,305
W01000943,Neath Port Talbot 012D,11.3,1711,1562,3859.649122807017,356
W01000597,Pembrokeshire 002E,42.8,1351,1181,66.80771145404354,432
W01000853,Swansea 022A,10.3,1751,1462,2416.1295653610973,302
W01000855,Swansea 022C,10.9,1788,1474,3512.8693994280266,480
W01000852,Swansea 021D,7.2,749,1506,4594.264795607077,247
W01000857,Swansea 022E,9.3,905,1817,5441.7490266546865,537
W01000854,Swansea 022B,10.8,1838,1597,1529.9865874688635,279
W01000850,Swansea 021B,6.5,484,2826,1602.585913576046,419
W01001928,Conwy 010H,10.3,70,1133,2257.4217971707512,372
W01000841,Swansea 005C,12.5,842,1531,4946.688206785138,310
W01001927,Conwy 010G,12.6,903,1371,743.3311646063762,448
W01000132,Conwy 001A,17.9,726,1571,4632.85166617517,463
W01000568,Pembrokeshire 005A,15.6,424,2397,3520.340725510353,367
W01000569,Pembrokeshire 005B,12.7,1311,1291,811.7454728370222,201
W01000561,Pembrokeshire 001D,58.3,1180,1408,49.737711288129006,368
W01001518,Torfaen 006E,7.4,1659,1135,2824.7884519661525,329
W01001309,Merthyr Tydfil 008E,6.4,258,1350,5350.772889417361,229
W01001388,Caerphilly 007D,12.2,405,1781,1581.986143187067,278
W01001308,Merthyr Tydfil 008D,5.7,7,1318,4703.7830121341885,142
W01001389,Caerphilly 007E,12.7,918,1134,3077.3405698778834,251
W01001301,Merthyr Tydfil 008C,7.2,164,1985,7006.706671373103,265
W01001380,Caerphilly 010A,10.2,1242,1861,879.1987527755471,371
W01001300,Merthyr Tydfil 008B,5.4,106,1874,2909.9378881987573,332
W01001381,Caerphilly 010B,7.5,214,1614,286.99966214414,269
W01001232,Rhondda Cynon Taf 020D,11.1,539,1507,1421.1618257261414,299
W01001234,Rhondda Cynon Taf 021E,14.0,709,1432,243.5084258676688,269
W01001235,Rhondda Cynon Taf 021F,11.4,480,1690,3260.659849508007,338
W01001237,Rhondda Cynon Taf 022B,7.8,209,1452,6007.447248655357,282
W01000961,Neath Port Talbot 016C,8.0,307,1613,3396.5045272688985,333
W01000097,Gwynedd 003D,79.3,901,1237,1348.6698648059312,233
W01000017,Isle of Anglesey 003B,42.9,486,1677,1412.8053917438922,263
