LSOA11CD,LSOA11NM,pop_density_persqkm
W01000156,Conwy 004B,3966.640604639041
W01000484,Powys 011E,10.100746973357733
W01001622,Newport 003F,783.0648182840015
W01000405,Wrexham 015B,3225.718194254446
W01000485,Powys 011F,75.3140085016451
W01000404,Wrexham 018D,82.11862959685807
W01000483,Powys 009C,596.5766908011078
W01000402,Wrexham 011D,3078.081847853377
W01000873,Swansea 026C,6067.518248175182
W01000875,Swansea 026D,9787.328311918476
W01000872,Swansea 024E,6379.388964888281
W01000877,Swansea 007E,1306.8979760429575
W01000874,Swansea 024F,9236.842105263158
W01000876,Swansea 026E,17721.943048576217
W01001394,Caerphilly 023B,2350.1985840096704
W01000606,Pembrokeshire 015B,1229.001527161661
W01001816,Cardiff 009B,5442.125237191651
W01001086,The Vale of Glamorgan 006A,268.97798796814686
W01001667,Newport 010C,6722.86617492097
W01001666,Newport 010B,3372.0379146919427
W01001664,Newport 010A,3471.3909504429016
W01000692,Carmarthenshire 019C,699.8374571067366
W01000613,Pembrokeshire 001E,27.936942692994
W01000693,Carmarthenshire 008C,2531.2997951286134
W01000612,Pembrokeshire 003C,38.98866302655527
W01000610,Pembrokeshire 016A,83.14359662949774
W01001508,Torfaen 013C,1194.5629526738765
W01001253,Rhondda Cynon Taf 023C,510.8752392552635
W01001604,Newport 012D,880.5219681551538
W01000191,Denbighshire 009A,131.6168354369631
W01000973,Neath Port Talbot 020F,2090.065828845003
W01001911,The Vale of Glamorgan 012H,10229.591836734695
W01001910,The Vale of Glamorgan 012G,5857.843137254901
W01001727,Cardiff 014A,172.9331696976459
W01001726,Cardiff 028E,4225.352112676056
W01001937,Ceredigion 001F,79.53354966040312
W01001934,Ceredigion 002F,842.5530131589975
W01001936,Ceredigion 003F,871.6315764459864
W01001724,Cardiff 032C,22473.933649289098
W01001935,Ceredigion 003E,1060.00579766161
W01001416,Caerphilly 008C,1375.717017208413
W01001932,Gwynedd 014E,25.037125921765366
W01001958,Swansea 025H,4951.953875720692
W01000941,Neath Port Talbot 012B,3090.65934065934
W01000940,Neath Port Talbot 008E,1617.27349703641
W01000942,Neath Port Talbot 012C,3312.67217630854
W01000943,Neath Port Talbot 012D,3859.6491228070176
W01000597,Pembrokeshire 002E,66.80771145404354
W01000853,Swansea 022A,2416.1295653610973
W01000855,Swansea 022C,3512.8693994280266
W01000852,Swansea 021D,4594.264795607077
