area_code,area_name,welsh_speakers_percent,population_count,pop_density_persqkm,wimd_2019,over_65_count
W01000853,Swansea 022A,10.3,1462.0,2416.1295653610973,1751.0,302.0
W01000855,Swansea 022C,10.9,1474.0,3512.8693994280266,1788.0,480.0
W01000852,Swansea 021D,7.2,1506.0,4594.264795607077,749.0,247.0
W01000857,Swansea 022E,9.3,1817.0,5441.7490266546865,905.0,537.0
W01000854,Swansea 022B,10.8,1597.0,1529.9865874688637,1838.0,279.0
W01000850,Swansea 021B,6.5,2826.0,1602.585913576046,484.0,419.0
W01001928,Conwy 010H,10.3,1133.0,2257.4217971707512,70.0,372.0
W01000841,Swansea 005C,12.5,1531.0,4946.6882067851375,842.0,310.0
W01001927,Conwy 010G,12.6,1371.0,743.3311646063761,903.0,448.0
W01000132,Conwy 001A,17.9,1571.0,4632.85166617517,726.0,463.0
W01000568,Pembrokeshire 005A,15.6,2397.0,3520.3407255103534,424.0,367.0
W01000569,Pembrokeshire 005B,12.7,1291.0,811.7454728370222,1311.0,201.0
W01000561,Pembrokeshire 001D,58.3,1408.0,49.737711288129006,1180.0,368.0
W01001518,Torfaen 006E,7.4,1135.0,2824.7884519661525,1659.0,329.0
W01001309,Merthyr Tydfil 008E,6.4,1350.0,5350.77288941736,258.0,229.0
W01001388,Caerphilly 007D,12.2,1781.0,1581.986143187067,405.0,278.0
W01001308,Merthyr Tydfil 008D,5.7,1318.0,4703.783012134189,7.0,142.0
W01001389,Caerphilly 007E,12.7,1134.0,3077.3405698778834,918.0,251.0
W01001301,Merthyr Tydfil 008C,7.2,1985.0,7006.706671373103,164.0,265.0
W01001380,Caerphilly 010A,10.2,1861.0,879.198752775547,1242.0,371.0
W01001300,Merthyr Tydfil 008B,5.4,1874.0,2909.9378881987577,106.0,332.0
W01001381,Caerphilly 010B,7.5,1614.0,286.99966214413996,214.0,269.0
W01001232,Rhondda Cynon Taf 020D,11.1,1507.0,1421.1618257261412,539.0,299.0
W01001234,Rhondda Cynon Taf 021E,14.0,1432.0,243.50842586766876,709.0,269.0
W01001235,Rhondda Cynon Taf 021F,11.4,1690.0,3260.659849508007,480.0,338.0
W01001237,Rhondda Cynon Taf 022B,7.8,1452.0,6007.447248655357,209.0,282.0
W01000961,Neath Port Talbot 016C,8.0,1613.0,3396.5045272688985,307.0,333.0
W01000097,Gwynedd 003D,79.3,1237.0,1348.6698648059312,901.0,233.0
W01000017,Isle of Anglesey 003B,42.9,1677.0,1412.8053917438922,486.0,263.0
W01000129,Conwy 012B,27.3,1109.0,319.8269646719539,711.0,235.0
W01000016,Isle of Anglesey 003A,39.1,1283.0,5023.492560689115,168.0,176.0
W01000121,Conwy 015A,50.3,1160.0,7.453906264558411,1165.0,309.0
W01000128,Conwy 009C,20.1,1359.0,3666.037226868087,1159.0,349.0
W01000122,Conwy 014A,45.4,2160.0,23.66695337281478,1126.0,572.0
W01000123,Conwy 013A,45.0,1885.0,193.92006584023457,902.0,400.0
W01000096,Gwynedd 003C,83.0,1356.0,3940.7149084568446,900.0,247.0
W01000014,Isle of Anglesey 006C,80.8,2144.0,407.4496389205625,1194.0,400.0
W01000085,Gwynedd 017C,35.9,2024.0,24.43526646392478,725.0,685.0
W01001096,The Vale of Glamorgan 007E,9.4,1307.0,4654.558404558405,785.0,328.0
W01001014,Bridgend 002A,10.4,1688.0,3096.679508347092,380.0,367.0
W01001097,The Vale of Glamorgan 007F,9.3,1739.0,2087.384467650942,253.0,202.0
W01001017,Bridgend 002C,16.0,1492.0,1821.2890625,1150.0,305.0
W01001129,The Vale of Glamorgan 004F,11.6,1543.0,4630.852340936374,993.0,229.0
W01001016,Bridgend 005C,10.3,1598.0,1647.762425242318,988.0,536.0
W01001121,The Vale of Glamorgan 014E,7.8,1618.0,294.16577277603045,863.0,349.0
W01001128,The Vale of Glamorgan 001C,10.0,1617.0,124.03540800515472,1705.0,412.0
W01001095,The Vale of Glamorgan 007D,9.3,1603.0,5042.466184334696,105.0,210.0
W01001094,The Vale of Glamorgan 007C,11.2,1371.0,5746.018440905281,291.0,178.0
W01001024,Bridgend 003C,7.2,1129.0,189.534473785821,336.0,209.0
W01000527,Ceredigion 008A,36.5,1531.0,1604.8218029350103,1360.0,229.0
W01001009,Bridgend 004C,8.2,1266.0,107.08213859778223,606.0,235.0
W01001536,Torfaen 009C,12.2,1214.0,3161.4583333333335,174.0,145.0
W01000559,Pembrokeshire 001B,55.9,1441.0,21.844222347200347,880.0,388.0
W01000558,Pembrokeshire 001A,51.7,2173.0,49.084161379145215,1148.0,595.0
W01001877,Cardiff 011A,7.3,1675.0,2981.488074047704,1342.0,214.0
W01001874,Cardiff 038D,8.1,1500.0,1345.0502152080344,12.0,151.0
W01001876,Cardiff 037D,6.7,1684.0,7162.90940025521,74.0,208.0
W01001875,Cardiff 037C,8.7,2846.0,1311.097802552172,498.0,170.0
W01001872,Cardiff 038B,10.0,1598.0,11381.766381766382,335.0,207.0
W01000721,Carmarthenshire 027C,54.7,1406.0,81.6629978335492,1245.0,289.0
W01000720,Carmarthenshire 027B,46.6,1825.0,136.7922406943799,1200.0,452.0
W01001636,Newport 020A,11.7,1930.0,167.59291420632167,1774.0,215.0
W01001419,Caerphilly 021D,11.5,1574.0,61.8144545286746,1172.0,305.0
W01001889,Cardiff 020B,12.0,1605.0,3990.5519641969167,1323.0,427.0
W01001808,Cardiff 007C,7.2,1785.0,5373.26911499097,94.0,187.0
