LSOA11CD,LSOA11NM,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
W01001297,Merthyr Tydfil 002C,12,18,12,11,17,17,12,7,13,9,14,9,10,18,15,6,9,8,6,5,2,3,4,2,1,4
W01000644,Carmarthenshire 006B,14,11,3,20,12,8,6,8,13,7,19,8,8,6,8,5,13,7,9,6,2,4,3,2,2,8
W01000645,Carmarthenshire 006C,13,18,18,19,7,19,17,12,10,19,7,13,9,13,6,16,9,10,15,5,6,5,7,5,3,22
W01000456,Powys 013C,43,44,28,28,21,37,28,33,41,32,29,26,19,21,22,24,32,27,27,28,12,17,16,14,9,41
W01000457,Powys 002B,27,35,39,38,35,21,20,26,29,20,27,17,18,28,19,18,14,14,10,13,9,15,10,5,3,16
W01000266,Flintshire 017E,14,12,12,14,23,23,34,26,34,28,18,11,15,6,9,15,9,11,6,13,4,9,7,2,3,8
W01000627,Carmarthenshire 013C,27,26,27,33,25,43,35,24,21,33,33,21,19,16,19,12,18,10,22,14,10,12,13,9,6,29
W01000626,Carmarthenshire 013B,15,16,17,19,16,21,16,11,18,20,18,12,16,10,12,10,13,14,4,4,10,8,9,4,1,19
W01000230,Denbighshire 017F,27,24,27,28,39,35,34,21,21,17,25,24,15,24,18,17,30,23,15,16,7,12,9,11,7,15
W01001476,Blaenau Gwent 009D,12,14,10,16,9,8,14,8,10,8,10,7,5,4,8,7,11,6,11,3,1,5,2,3,0,8
W01000624,Carmarthenshire 005A,27,31,28,32,33,37,30,36,32,29,39,35,17,14,21,25,21,10,13,18,19,8,9,8,6,20
W01001477,Blaenau Gwent 009E,18,21,15,10,22,17,29,13,15,19,4,11,7,8,2,15,6,9,11,7,8,4,8,6,8,6
W01001770,Cardiff 018B,8,17,18,14,12,8,14,8,11,9,8,7,8,7,5,9,7,5,6,5,3,6,2,5,5,14
W01000361,Wrexham 019E,31,25,29,17,35,24,28,19,22,27,17,21,15,15,22,11,13,10,7,12,8,6,5,11,7,41
W01000150,Conwy 005B,25,25,15,16,28,28,33,24,23,22,13,25,21,19,11,15,16,11,4,8,3,3,1,2,9,4
W01001621,Newport 003E,9,9,9,10,15,20,24,17,18,14,25,19,17,17,13,9,5,3,4,4,2,0,2,2,2,4
W01001391,Caerphilly 006F,15,17,18,24,24,20,20,21,22,11,19,14,12,11,8,14,10,12,9,9,2,1,5,5,5,6
