LA Name,LA Code,QS113: One person household: Total %,KS301: Day-to-day activities limited a lot %,LC3304: Provides unpaid care age 65+: Total %
Torfaen 005A,W01001510,31.9,11.7,2.8
Torfaen 013D,W01001509,22.7,8,4.9
Torfaen 013C,W01001508,32.1,16.7,5.5
Torfaen 008D,W01001507,31.9,13.2,5.1
Torfaen 010A,W01001506,49.1,19.2,2.7
Torfaen 013B,W01001505,22.9,11.1,3.4
Torfaen 013A,W01001504,32.3,14.5,3.6
Torfaen 009B,W01001503,21.4,11.4,3.1
Torfaen 011E,W01001502,17.2,7.8,2.3
Torfaen 009A,W01001501,19.8,9.8,0.8
Torfaen 011D,W01001500,16.5,9.5,2
Torfaen 011C,W01001499,26.5,8.1,1.9
Torfaen 011B,W01001498,26.8,16,4.1
Torfaen 011A,W01001497,28.2,14.9,3.5
Torfaen 004B,W01001496,24.3,15.1,2.5
Torfaen 008C,W01001495,35.4,13.9,4.6
Torfaen 008B,W01001494,29.5,12.5,5
Torfaen 008A,W01001493,34.9,13.5,3.5
Torfaen 012A,W01001492,20.9,7.7,2.8
Torfaen 004A,W01001491,32.2,14.5,2.3
Torfaen 001D,W01001490,35.3,10.6,3
Torfaen 001C,W01001489,31.9,15.3,3
Torfaen 001B,W01001488,34.3,15.9,2.1
Torfaen 001A,W01001487,32.2,12,2.8
Torfaen 002E,W01001486,31.5,13.3,1.8
Torfaen 002D,W01001485,31.8,21.1,3.3
Torfaen 002C,W01001484,22.3,12.6,2.5
Torfaen 002B,W01001483,26.6,15.9,2.7
Torfaen 002A,W01001482,24.5,16.3,2.6
Blaenau Gwent 006E,W01001481,45.9,20.6,2.1
Blaenau Gwent 003E,W01001480,29.3,21.7,3.1
Blaenau Gwent 006D,W01001479,38,18.1,2.3
Blaenau Gwent 006C,W01001478,31,12.7,3.7
Blaenau Gwent 009E,W01001477,29.8,14.3,4.2
Blaenau Gwent 009D,W01001476,38.3,18.4,3.4
Blaenau Gwent 003D,W01001475,27.9,14.1,2.2
Blaenau Gwent 003C,W01001474,30.8,16.3,2.5
Blaenau Gwent 003B,W01001473,30,23.4,2.5
Blaenau Gwent 003A,W01001472,29.8,15.6,3.3
Blaenau Gwent 001E,W01001471,32.9,16.2,2
Blaenau Gwent 001D,W01001470,24.6,13.6,4.4
Blaenau Gwent 005F,W01001469,23.4,13.6,2.1
Blaenau Gwent 005E,W01001468,27.5,16.9,3
Blaenau Gwent 005D,W01001467,27.6,17,2.7
Blaenau Gwent 009C,W01001466,34.8,16.4,3.1
Blaenau Gwent 009B,W01001465,30.5,17.4,3.4
Blaenau Gwent 009A,W01001464,36.1,19.6,2.9
Blaenau Gwent 006B,W01001463,30.3,11.3,3.2
Blaenau Gwent 006A,W01001462,33.1,16.2,3.3
